                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2476,                 2.7918,                 1.4805,                0.55875,                0.48222,                0.47936,                0.26373,                  1.443,                 1.7197,                 1.6883,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3788,                 2.1744,                 1.5722,                0.49247,                0.40091,                0.39103,                 0.2076,                 1.5842,                 2.0138,                 1.8119,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.4918,                 2.3982,                 1.6671,                  0.341,                0.29355,                0.23052,                0.10801,                 1.8189,                  2.496,                  2.014,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.5677,                  2.445,                 1.7371,                0.37498,                0.35934,                0.30319,                0.14935,                 1.7086,                 2.1787,                 1.9309,               0.009604,               0.009604,               0.009604
                      5,                  1.527,                 2.2674,                 1.7103,                0.45457,                 0.3877,                0.35369,                0.18053,                 1.6761,                 2.0497,                 1.9085,               0.009472,               0.009472,               0.009472
                      6,                 1.4979,                  2.129,                  1.687,                0.51204,                 0.4461,                0.43442,                0.22671,                 1.5972,                 1.7952,                 1.8435,                0.00934,                0.00934,                0.00934
                      7,                 1.4689,                 2.0269,                  1.666,                0.51921,                0.43776,                0.42956,                0.22642,                 1.5859,                 1.7994,                 1.8042,               0.009208,               0.009208,               0.009208
                      8,                 1.4572,                 1.9636,                 1.6628,                0.57493,                0.45363,                0.46839,                0.25293,                 1.5869,                 1.7144,                 1.8241,               0.009076,               0.009076,               0.009076
                      9,                 1.4291,                 1.9043,                 1.6395,                0.58456,                 0.4879,                0.50444,                0.27756,                 1.5236,                 1.5965,                 1.7696,               0.008944,               0.008944,               0.008944
                     10,                 1.4294,                 1.8624,                 1.6379,                0.58537,                0.49515,                0.50413,                0.27883,                 1.4989,                 1.5765,                 1.7593,               0.008812,               0.008812,               0.008812
                     11,                  1.406,                 1.8149,                 1.6213,                0.60202,                0.50608,                0.51954,                 0.2878,                 1.5018,                 1.5198,                 1.7565,                0.00868,                0.00868,                0.00868
                     12,                 1.3973,                 1.7754,                 1.6167,                0.58425,                0.51742,                0.51618,                0.28012,                 1.5059,                 1.5467,                 1.7552,               0.008548,               0.008548,               0.008548
                     13,                 1.3831,                 1.7531,                  1.607,                0.61415,                0.53343,                0.53704,                0.30225,                 1.4805,                 1.4822,                 1.7157,               0.008416,               0.008416,               0.008416
                     14,                  1.376,                 1.7161,                 1.6003,                0.62882,                0.53836,                0.55896,                0.31553,                 1.4732,                 1.4128,                 1.7266,               0.008284,               0.008284,               0.008284
                     15,                   1.37,                 1.7014,                 1.6008,                0.62255,                  0.562,                0.56565,                0.32155,                 1.4572,                 1.3844,                 1.7183,               0.008152,               0.008152,               0.008152
                     16,                 1.3582,                 1.6613,                 1.5889,                0.64625,                0.54812,                0.56778,                0.32439,                 1.4424,                 1.3821,                 1.7027,                0.00802,                0.00802,                0.00802
                     17,                  1.355,                 1.6472,                 1.5859,                0.67771,                 0.5516,                0.58265,                0.32738,                 1.4495,                 1.3379,                 1.7071,               0.007888,               0.007888,               0.007888
                     18,                 1.3386,                 1.6103,                 1.5741,                0.66238,                0.57105,                0.59268,                 0.3392,                 1.4432,                 1.3332,                 1.7006,               0.007756,               0.007756,               0.007756
                     19,                 1.3346,                 1.6027,                 1.5697,                0.65647,                0.56926,                0.59222,                  0.342,                 1.4309,                 1.3086,                 1.6904,               0.007624,               0.007624,               0.007624
                     20,                 1.3288,                 1.5746,                 1.5691,                0.67868,                0.56546,                0.59213,                0.34295,                 1.4254,                 1.3137,                 1.6852,               0.007492,               0.007492,               0.007492
                     21,                 1.3225,                 1.5508,                 1.5588,                0.66538,                0.58257,                0.60443,                0.35201,                 1.4089,                 1.2649,                 1.6746,                0.00736,                0.00736,                0.00736
                     22,                 1.3162,                 1.5313,                 1.5552,                0.70432,                0.58093,                0.62057,                0.36018,                  1.399,                 1.2333,                   1.66,               0.007228,               0.007228,               0.007228
                     23,                 1.3078,                 1.5296,                 1.5538,                0.66888,                 0.6003,                0.61841,                 0.3621,                 1.3963,                 1.2274,                 1.6604,               0.007096,               0.007096,               0.007096
                     24,                 1.2961,                 1.5084,                  1.539,                0.67111,                0.58605,                0.61094,                0.36046,                 1.3853,                 1.2302,                 1.6564,               0.006964,               0.006964,               0.006964
                     25,                 1.2954,                 1.4887,                 1.5433,                0.69303,                0.59224,                0.62251,                0.36351,                 1.3802,                 1.2178,                 1.6469,               0.006832,               0.006832,               0.006832
                     26,                 1.2912,                 1.4792,                 1.5353,                0.68903,                0.60556,                0.62808,                0.37204,                 1.3748,                 1.1865,                 1.6444,                 0.0067,                 0.0067,                 0.0067
                     27,                  1.295,                 1.4611,                 1.5383,                 0.6988,                0.61166,                0.63404,                 0.3758,                 1.3796,                 1.1831,                 1.6456,               0.006568,               0.006568,               0.006568
                     28,                 1.2824,                 1.4575,                 1.5313,                0.70027,                0.60315,                0.63189,                0.37677,                 1.3613,                 1.1654,                 1.6328,               0.006436,               0.006436,               0.006436
                     29,                 1.2794,                 1.4371,                  1.529,                0.71479,                0.60588,                0.63852,                0.37759,                 1.3622,                 1.1637,                 1.6333,               0.006304,               0.006304,               0.006304
                     30,                 1.2747,                 1.4336,                  1.526,                0.70503,                0.60975,                0.63955,                0.37931,                 1.3633,                 1.1595,                 1.6342,               0.006172,               0.006172,               0.006172
                     31,                 1.2672,                 1.4137,                 1.5219,                0.72174,                0.60859,                0.64055,                0.37986,                 1.3545,                 1.1544,                 1.6254,                0.00604,                0.00604,                0.00604
                     32,                 1.2642,                 1.4053,                   1.52,                 0.7099,                0.61156,                 0.6448,                0.38688,                 1.3579,                 1.1393,                 1.6278,               0.005908,               0.005908,               0.005908
                     33,                 1.2578,                  1.403,                 1.5191,                0.69701,                0.62923,                0.65093,                0.38772,                  1.349,                 1.1297,                 1.6234,               0.005776,               0.005776,               0.005776
                     34,                 1.2574,                 1.3878,                 1.5163,                0.71824,                0.61856,                0.65755,                0.39675,                 1.3358,                 1.1161,                 1.6162,               0.005644,               0.005644,               0.005644
                     35,                 1.2539,                 1.3753,                 1.5135,                0.72827,                0.61855,                0.65635,                0.39588,                 1.3373,                 1.1108,                 1.6123,               0.005512,               0.005512,               0.005512
                     36,                 1.2493,                 1.3673,                 1.5067,                0.72652,                0.62294,                0.66131,                0.39657,                 1.3353,                 1.1065,                 1.6095,                0.00538,                0.00538,                0.00538
                     37,                 1.2407,                 1.3543,                 1.5028,                0.72581,                0.62951,                0.66427,                0.39598,                 1.3375,                  1.098,                 1.6087,               0.005248,               0.005248,               0.005248
                     38,                 1.2414,                 1.3516,                 1.5034,                 0.7202,                0.63176,                0.66088,                0.40113,                 1.3331,                 1.0901,                 1.6085,               0.005116,               0.005116,               0.005116
                     39,                 1.2351,                 1.3301,                 1.4947,                0.70974,                0.63929,                0.65944,                0.39767,                 1.3291,                 1.0871,                 1.6091,               0.004984,               0.004984,               0.004984
                     40,                 1.2315,                 1.3215,                 1.4958,                 0.7373,                0.62014,                 0.6615,                0.40131,                 1.3248,                 1.0822,                 1.6047,               0.004852,               0.004852,               0.004852
                     41,                 1.2239,                 1.3077,                 1.4906,                 0.7464,                0.62596,                0.66519,                0.40443,                 1.3249,                 1.0779,                 1.6053,                0.00472,                0.00472,                0.00472
                     42,                 1.2156,                 1.2976,                 1.4848,                0.73442,                0.62809,                0.66427,                0.40702,                 1.3211,                 1.0718,                 1.5996,               0.004588,               0.004588,               0.004588
                     43,                 1.2137,                 1.2891,                 1.4869,                0.73125,                0.63726,                0.66831,                0.40775,                 1.3203,                 1.0692,                 1.5997,               0.004456,               0.004456,               0.004456
                     44,                 1.2198,                 1.2874,                 1.4822,                0.73566,                0.63267,                0.66566,                0.40606,                 1.3205,                  1.065,                 1.5988,               0.004324,               0.004324,               0.004324
                     45,                 1.2106,                 1.2668,                 1.4725,                0.73409,                0.63932,                0.67137,                0.40873,                  1.321,                 1.0561,                 1.5988,               0.004192,               0.004192,               0.004192
                     46,                 1.2151,                 1.2623,                 1.4791,                0.73245,                0.64291,                0.67413,                0.41051,                 1.3181,                 1.0512,                 1.5937,                0.00406,                0.00406,                0.00406
                     47,                 1.1987,                 1.2559,                 1.4694,                0.74398,                0.64109,                0.67493,                0.40951,                 1.3164,                 1.0471,                 1.5933,               0.003928,               0.003928,               0.003928
                     48,                 1.2047,                 1.2458,                 1.4737,                0.73671,                0.65024,                0.67596,                   0.41,                 1.3139,                 1.0492,                 1.5927,               0.003796,               0.003796,               0.003796
                     49,                 1.1911,                 1.2323,                 1.4659,                0.73402,                0.64979,                0.67327,                0.41044,                 1.3156,                 1.0473,                 1.5963,               0.003664,               0.003664,               0.003664
                     50,                 1.1855,                 1.2213,                 1.4622,                0.73687,                0.64595,                0.67509,                0.41178,                 1.3125,                 1.0464,                 1.5939,               0.003532,               0.003532,               0.003532
                     51,                 1.1826,                 1.2126,                 1.4576,                0.74851,                0.63507,                0.67314,                0.41022,                 1.3108,                 1.0382,                 1.5921,                 0.0034,                 0.0034,                 0.0034
                     52,                  1.181,                  1.203,                 1.4566,                0.73367,                0.64906,                0.67421,                0.41158,                 1.3117,                 1.0339,                 1.5927,               0.003268,               0.003268,               0.003268
                     53,                 1.1838,                  1.201,                  1.461,                0.74507,                0.63965,                0.67441,                0.41246,                  1.309,                 1.0332,                 1.5917,               0.003136,               0.003136,               0.003136
                     54,                 1.1706,                 1.1954,                 1.4505,                0.74872,                0.63871,                0.67529,                0.41342,                 1.3075,                 1.0326,                 1.5902,               0.003004,               0.003004,               0.003004
                     55,                 1.1663,                 1.1789,                 1.4465,                0.74259,                0.64396,                0.67746,                0.41546,                 1.3049,                 1.0309,                 1.5877,               0.002872,               0.002872,               0.002872
                     56,                 1.1586,                 1.1705,                 1.4403,                0.74372,                0.64937,                0.67852,                0.41566,                 1.3038,                 1.0263,                 1.5873,                0.00274,                0.00274,                0.00274
                     57,                 1.1699,                 1.1669,                 1.4487,                0.74539,                0.64459,                0.67711,                0.41459,                 1.3039,                 1.0249,                 1.5866,               0.002608,               0.002608,               0.002608
                     58,                 1.1566,                 1.1568,                  1.441,                0.73962,                0.64632,                0.67702,                0.41499,                 1.3032,                 1.0206,                 1.5865,               0.002476,               0.002476,               0.002476
                     59,                 1.1565,                 1.1497,                 1.4392,                0.72851,                0.65788,                0.67781,                0.41527,                 1.3029,                 1.0188,                 1.5864,               0.002344,               0.002344,               0.002344
                     60,                 1.1489,                 1.1475,                 1.4414,                0.74565,                 0.6468,                0.67766,                0.41563,                 1.3023,                 1.0175,                  1.586,               0.002212,               0.002212,               0.002212
                     61,                 1.1422,                 1.1249,                 1.4331,                0.75357,                0.64401,                0.67834,                0.41597,                  1.301,                  1.017,                 1.5849,                0.00208,                0.00208,                0.00208
                     62,                 1.1417,                 1.1271,                 1.4288,                0.75703,                0.63978,                0.67729,                0.41611,                 1.3009,                 1.0171,                 1.5852,               0.001948,               0.001948,               0.001948
                     63,                 1.1321,                 1.1152,                  1.425,                0.74866,                0.64544,                  0.678,                0.41711,                 1.3015,                 1.0166,                 1.5853,               0.001816,               0.001816,               0.001816
                     64,                  1.125,                 1.1017,                 1.4211,                0.74855,                0.64536,                0.67759,                0.41694,                 1.3007,                 1.0158,                 1.5849,               0.001684,               0.001684,               0.001684
                     65,                 1.1222,                 1.0998,                 1.4161,                0.74601,                0.65102,                0.67903,                0.41781,                 1.3003,                 1.0139,                 1.5851,               0.001552,               0.001552,               0.001552
                     66,                 1.1424,                0.92808,                 1.4782,                 0.7455,                0.65104,                0.67881,                0.41741,                 1.2992,                 1.0142,                 1.5834,                0.00142,                0.00142,                0.00142
                     67,                 1.1273,                0.89605,                 1.4708,                 0.7448,                 0.6501,                0.67992,                0.41776,                 1.2986,                 1.0126,                 1.5828,               0.001288,               0.001288,               0.001288
                     68,                 1.1187,                0.87638,                 1.4631,                0.74949,                0.65001,                0.68008,                0.41792,                 1.2978,                 1.0122,                 1.5814,               0.001156,               0.001156,               0.001156
                     69,                 1.1101,                0.86468,                 1.4599,                0.74947,                0.65053,                0.67966,                0.41778,                 1.2974,                 1.0118,                 1.5813,               0.001024,               0.001024,               0.001024
                     70,                 1.1045,                0.84789,                 1.4548,                0.75116,                0.65291,                0.68028,                0.41816,                 1.2972,                 1.0114,                 1.5813,               0.000892,               0.000892,               0.000892
                     71,                 1.0994,                0.83666,                 1.4504,                0.75481,                0.65259,                0.68022,                0.41842,                 1.2967,                 1.0105,                 1.5809,                0.00076,                0.00076,                0.00076
                     72,                 1.0943,                 0.8304,                 1.4446,                0.75529,                0.65103,                0.68022,                0.41866,                 1.2958,                 1.0101,                 1.5798,               0.000628,               0.000628,               0.000628
                     73,                 1.0918,                0.82471,                 1.4434,                0.75428,                0.64922,                0.67972,                0.41836,                 1.2955,                 1.0097,                 1.5795,               0.000496,               0.000496,               0.000496
                     74,                 1.0797,                0.81241,                 1.4332,                0.75404,                0.65077,                0.68049,                0.41828,                 1.2956,                 1.0097,                 1.5793,               0.000364,               0.000364,               0.000364
                     75,                 1.0765,                0.80567,                 1.4353,                0.75538,                0.64949,                0.67999,                0.41808,                 1.2959,                 1.0096,                 1.5796,               0.000232,               0.000232,               0.000232
