                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98795,                 2.8558,                 1.2713,                0.55187,                0.45922,                0.44349,                0.29469,                 1.0669,                 1.9031,                 1.3074,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.0948,                   2.26,                 1.3459,                0.51267,                 0.4243,                0.39903,                0.24597,                 1.2049,                 2.0069,                 1.4156,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2339,                 2.4636,                 1.4562,                0.36768,                0.27425,                0.21006,                0.10983,                 1.5261,                 2.5612,                 1.7673,              0.0097323,              0.0097323,              0.0097323
                      4,                   1.32,                 2.5357,                 1.5313,                0.41234,                0.32984,                0.29724,                0.16713,                 1.3963,                 2.2555,                 1.6076,               0.009604,               0.009604,               0.009604
                      5,                 1.2777,                 2.3645,                 1.5013,                0.47707,                0.37613,                0.35862,                0.21597,                 1.3075,                 2.0966,                 1.5215,               0.009472,               0.009472,               0.009472
                      6,                 1.2446,                 2.2167,                 1.4798,                0.50502,                0.40249,                0.38145,                0.23606,                 1.2682,                 1.9858,                 1.4905,                0.00934,                0.00934,                0.00934
                      7,                 1.2135,                 2.1212,                   1.45,                 0.5479,                0.42689,                0.41902,                0.26682,                 1.2205,                 1.9327,                 1.4553,               0.009208,               0.009208,               0.009208
                      8,                 1.1907,                 2.0682,                 1.4346,                0.54813,                0.43532,                0.42924,                0.27781,                 1.2089,                 1.8592,                 1.4435,               0.009076,               0.009076,               0.009076
                      9,                 1.1712,                 1.9956,                 1.4193,                0.55541,                0.40785,                 0.3996,                0.25202,                 1.2633,                 1.9642,                 1.4815,               0.008944,               0.008944,               0.008944
                     10,                  1.149,                 1.9542,                 1.4031,                0.57601,                0.47106,                0.46525,                0.30544,                 1.1634,                 1.7327,                 1.4013,               0.008812,               0.008812,               0.008812
                     11,                 1.1349,                 1.9188,                 1.3915,                0.58726,                0.45638,                0.45717,                0.30256,                 1.1367,                  1.719,                 1.3823,                0.00868,                0.00868,                0.00868
                     12,                 1.1255,                 1.8866,                 1.3889,                0.58767,                0.46847,                0.46733,                 0.3124,                 1.1384,                 1.6936,                  1.384,               0.008548,               0.008548,               0.008548
                     13,                 1.1116,                 1.8526,                 1.3754,                0.59119,                0.49871,                0.48602,                0.32943,                 1.1155,                 1.6542,                  1.363,               0.008416,               0.008416,               0.008416
                     14,                 1.1004,                 1.8239,                 1.3669,                0.61497,                0.49273,                0.49397,                0.33215,                 1.0973,                 1.6117,                 1.3501,               0.008284,               0.008284,               0.008284
                     15,                  1.091,                 1.8011,                 1.3608,                0.61034,                0.50892,                0.50601,                0.34236,                 1.0823,                 1.5839,                 1.3347,               0.008152,               0.008152,               0.008152
                     16,                  1.083,                 1.7725,                 1.3552,                0.62149,                0.50091,                 0.5083,                0.34573,                 1.0864,                 1.5636,                 1.3358,                0.00802,                0.00802,                0.00802
                     17,                 1.0751,                 1.7604,                 1.3503,                0.62364,                0.50861,                0.51398,                0.35128,                 1.0711,                 1.5501,                 1.3197,               0.007888,               0.007888,               0.007888
                     18,                 1.0683,                  1.723,                 1.3404,                0.62912,                0.51918,                0.51715,                0.36029,                 1.0584,                 1.5337,                 1.3132,               0.007756,               0.007756,               0.007756
                     19,                 1.0534,                 1.7098,                 1.3333,                0.63572,                0.51217,                0.52854,                0.36725,                 1.0472,                 1.5088,                 1.2948,               0.007624,               0.007624,               0.007624
                     20,                 1.0489,                 1.6999,                 1.3283,                0.62827,                0.51759,                0.52494,                0.36548,                  1.047,                 1.4994,                 1.2976,               0.007492,               0.007492,               0.007492
                     21,                 1.0443,                 1.6741,                 1.3228,                0.66086,                0.51676,                0.53793,                 0.3787,                 1.0317,                 1.4743,                 1.2915,                0.00736,                0.00736,                0.00736
                     22,                  1.035,                 1.6563,                 1.3139,                0.65899,                0.52497,                0.53867,                0.37694,                 1.0398,                 1.4722,                  1.288,               0.007228,               0.007228,               0.007228
                     23,                 1.0301,                 1.6318,                  1.312,                0.64021,                0.52998,                0.54038,                0.38108,                 1.0263,                 1.4531,                 1.2799,               0.007096,               0.007096,               0.007096
                     24,                 1.0225,                 1.6218,                 1.3077,                0.67984,                0.52826,                0.54741,                0.38781,                 1.0113,                 1.4363,                 1.2647,               0.006964,               0.006964,               0.006964
                     25,                 1.0259,                 1.6191,                 1.3104,                0.66816,                0.54346,                0.55717,                0.39412,                 1.0083,                 1.4192,                 1.2627,               0.006832,               0.006832,               0.006832
                     26,                 1.0115,                 1.6015,                 1.2968,                0.65904,                0.55038,                 0.5578,                0.39885,                 1.0028,                 1.4035,                 1.2587,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.0117,                 1.5898,                 1.2991,                0.67817,                0.54361,                0.56464,                0.40202,                0.99869,                 1.3899,                 1.2543,               0.006568,               0.006568,               0.006568
                     28,                 1.0009,                 1.5667,                 1.2916,                0.66656,                0.56019,                0.56222,                0.40361,                0.99081,                  1.377,                 1.2481,               0.006436,               0.006436,               0.006436
                     29,                 1.0017,                 1.5727,                 1.2938,                0.69979,                0.53784,                0.56509,                0.40677,                0.98037,                 1.3744,                 1.2406,               0.006304,               0.006304,               0.006304
                     30,                0.98687,                 1.5432,                 1.2843,                  0.668,                 0.5691,                0.56943,                0.41145,                0.98264,                 1.3671,                 1.2414,               0.006172,               0.006172,               0.006172
                     31,                0.98246,                  1.549,                 1.2814,                0.68521,                 0.5567,                0.56767,                0.40971,                0.97792,                 1.3597,                 1.2375,                0.00604,                0.00604,                0.00604
                     32,                0.98497,                 1.5329,                 1.2785,                0.67589,                0.56056,                0.57116,                0.41302,                 0.9773,                 1.3613,                 1.2353,               0.005908,               0.005908,               0.005908
                     33,                  0.978,                 1.5185,                 1.2777,                0.67487,                0.56236,                0.57315,                0.41273,                0.98196,                 1.3477,                 1.2363,               0.005776,               0.005776,               0.005776
                     34,                0.97326,                 1.4938,                 1.2685,                0.68703,                0.56159,                0.57835,                0.41992,                0.96872,                 1.3325,                 1.2255,               0.005644,               0.005644,               0.005644
                     35,                0.96789,                 1.4914,                 1.2639,                0.68762,                0.57064,                0.57839,                0.42003,                0.96482,                   1.33,                 1.2222,               0.005512,               0.005512,               0.005512
                     36,                0.96365,                 1.4928,                 1.2641,                0.68924,                0.57433,                0.58086,                0.42327,                0.96195,                  1.323,                 1.2215,                0.00538,                0.00538,                0.00538
                     37,                0.95653,                 1.4742,                 1.2579,                 0.6886,                0.57565,                 0.5816,                0.42371,                0.95607,                 1.3158,                 1.2181,               0.005248,               0.005248,               0.005248
                     38,                 0.9505,                   1.46,                  1.254,                 0.6864,                0.57212,                0.58244,                0.42553,                  0.953,                 1.3177,                 1.2161,               0.005116,               0.005116,               0.005116
                     39,                0.94751,                 1.4567,                 1.2545,                 0.6821,                0.58058,                0.58203,                0.42557,                0.95459,                 1.3121,                 1.2154,               0.004984,               0.004984,               0.004984
                     40,                0.94956,                 1.4472,                 1.2524,                 0.6922,                0.57423,                0.58306,                0.42738,                0.94776,                 1.3075,                 1.2115,               0.004852,               0.004852,               0.004852
                     41,                0.94054,                 1.4425,                 1.2485,                0.69778,                0.57678,                0.58666,                 0.4318,                0.94665,                 1.2973,                 1.2125,                0.00472,                0.00472,                0.00472
                     42,                0.93425,                 1.4296,                 1.2437,                0.69578,                0.58043,                0.58777,                0.43365,                0.94216,                 1.2964,                 1.2053,               0.004588,               0.004588,               0.004588
                     43,                0.93474,                 1.4193,                 1.2461,                0.70196,                0.57665,                0.59146,                0.43502,                0.94237,                 1.2858,                 1.2047,               0.004456,               0.004456,               0.004456
                     44,                0.93121,                 1.4048,                 1.2401,                0.70743,                0.57466,                0.59171,                0.43587,                0.94023,                 1.2862,                 1.2056,               0.004324,               0.004324,               0.004324
                     45,                0.92112,                 1.4058,                 1.2346,                0.70383,                0.58499,                0.59502,                0.43982,                0.93715,                 1.2791,                  1.201,               0.004192,               0.004192,               0.004192
                     46,                0.91869,                 1.3953,                 1.2345,                0.69683,                0.58855,                 0.5936,                0.43966,                0.93399,                 1.2782,                 1.1972,                0.00406,                0.00406,                0.00406
                     47,                0.91282,                 1.3904,                 1.2294,                0.70523,                 0.5795,                0.59612,                0.44149,                0.93249,                 1.2745,                 1.1961,               0.003928,               0.003928,               0.003928
