                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4781,                 3.6291,                 1.6537,                0.28444,                0.22066,                0.12739,                0.07918,                 1.6851,                 2.7538,                 1.8683,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.6299,                 3.3013,                 1.7579,                0.19156,                 0.1277,                0.07026,                0.03725,                 1.9312,                 3.2372,                 2.1395,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.7447,                 3.4562,                 1.8644,                0.18785,                0.11127,                0.05213,                0.02498,                 2.0682,                 3.2723,                 2.2151,              0.0097323,              0.0097323,              0.0097323
                      4,                  1.819,                 3.5175,                 1.9329,                0.15384,                0.12711,                0.05855,                0.02912,                 1.9695,                 3.2331,                 2.1473,               0.009604,               0.009604,               0.009604
                      5,                 1.7954,                 3.4092,                 1.9223,                0.20669,                0.13737,                0.07314,                0.03944,                 1.9225,                 3.1874,                 2.1311,               0.009472,               0.009472,               0.009472
                      6,                  1.747,                 3.2768,                 1.8793,                0.19304,                0.15634,                0.08324,                0.04612,                 1.9552,                 3.1203,                 2.1165,                0.00934,                0.00934,                0.00934
                      7,                  1.734,                 3.2285,                  1.869,                0.24657,                0.17159,                0.09844,                0.05575,                 1.8937,                 3.0152,                 2.0928,               0.009208,               0.009208,               0.009208
                      8,                 1.7179,                 3.1808,                 1.8575,                0.21253,                0.17628,                0.09866,                0.05565,                 1.8938,                 2.9649,                 2.0603,               0.009076,               0.009076,               0.009076
                      9,                 1.6925,                 3.1391,                 1.8392,                0.24115,                0.19206,                0.11012,                0.06328,                 1.8754,                 2.8985,                 2.0532,               0.008944,               0.008944,               0.008944
                     10,                 1.6755,                 3.1041,                 1.8291,                0.25473,                0.18836,                0.11298,                0.06719,                 1.8478,                 2.8646,                 2.0251,               0.008812,               0.008812,               0.008812
                     11,                  1.666,                 3.0643,                 1.8155,                0.27855,                0.20165,                0.12675,                0.07666,                 1.8207,                 2.8603,                 2.0174,                0.00868,                0.00868,                0.00868
                     12,                 1.6601,                 3.0394,                 1.8116,                0.25338,                0.20204,                0.12144,                0.07201,                 1.8474,                 2.8691,                  2.036,               0.008548,               0.008548,               0.008548
                     13,                 1.6484,                 3.0141,                 1.7997,                0.28763,                0.22041,                0.13136,                0.08017,                 1.7876,                 2.7644,                 1.9865,               0.008416,               0.008416,               0.008416
                     14,                 1.6241,                 2.9643,                 1.7814,                0.28411,                0.21829,                0.13593,                0.08193,                 1.7947,                 2.7778,                 1.9996,               0.008284,               0.008284,               0.008284
                     15,                 1.6196,                  2.956,                 1.7796,                0.28814,                0.22227,                0.13895,                0.08579,                 1.7887,                 2.7438,                 1.9832,               0.008152,               0.008152,               0.008152
                     16,                   1.62,                 2.9471,                 1.7834,                0.28524,                0.22232,                0.14029,                0.08839,                 1.7641,                 2.7138,                 1.9577,                0.00802,                0.00802,                0.00802
