                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0756,                 2.8353,                   1.34,                0.56302,                0.47438,                0.45411,                0.30238,                 1.1671,                 1.8258,                 1.3953,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1968,                 2.2779,                 1.4271,                 0.5057,                0.40256,                0.38121,                0.23842,                 1.3404,                 2.0168,                 1.5759,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.3246,                 2.4634,                 1.5338,                0.33459,                0.24062,                0.18645,                0.10013,                 1.5939,                 2.7732,                 1.8959,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.4082,                 2.5456,                 1.6079,                0.37309,                0.34862,                 0.2746,                0.15528,                 1.5014,                 2.3123,                 1.7185,               0.009604,               0.009604,               0.009604
                      5,                 1.3726,                 2.3763,                 1.5787,                0.39747,                0.33282,                0.29137,                0.17075,                 1.4894,                 2.2805,                 1.7487,               0.009472,               0.009472,               0.009472
                      6,                 1.3282,                 2.2411,                 1.5467,                0.48194,                0.39266,                 0.3696,                0.22829,                 1.3741,                 1.9735,                 1.6141,                0.00934,                0.00934,                0.00934
                      7,                 1.3037,                 2.1414,                 1.5247,                0.49203,                0.42381,                0.39658,                0.24961,                 1.3645,                 1.9396,                 1.5959,               0.009208,               0.009208,               0.009208
                      8,                  1.283,                 2.0632,                 1.5168,                0.55509,                0.44617,                0.43227,                 0.2744,                 1.3123,                 1.8235,                 1.5662,               0.009076,               0.009076,               0.009076
                      9,                 1.2603,                 2.0085,                  1.503,                0.53678,                0.44736,                0.43756,                0.28496,                 1.2933,                 1.7471,                 1.5364,               0.008944,               0.008944,               0.008944
                     10,                 1.2559,                 1.9719,                 1.4954,                0.54817,                0.45883,                0.44891,                0.29245,                 1.2965,                 1.7617,                 1.5372,               0.008812,               0.008812,               0.008812
                     11,                 1.2301,                 1.9316,                 1.4777,                0.56734,                0.47999,                0.46718,                 0.3125,                 1.2462,                 1.6793,                 1.5011,                0.00868,                0.00868,                0.00868
                     12,                 1.2161,                 1.8916,                 1.4716,                0.56568,                 0.4751,                0.46647,                0.30751,                 1.2544,                 1.6898,                 1.5094,               0.008548,               0.008548,               0.008548
                     13,                 1.2047,                 1.8621,                 1.4615,                0.60582,                 0.4852,                0.48461,                0.32174,                  1.239,                 1.6155,                 1.4861,               0.008416,               0.008416,               0.008416
                     14,                 1.1911,                 1.8366,                 1.4494,                0.58731,                0.48171,                0.47916,                0.32261,                 1.2224,                 1.6369,                 1.4827,               0.008284,               0.008284,               0.008284
                     15,                 1.1761,                 1.8013,                 1.4403,                0.60511,                0.50215,                 0.5013,                0.33825,                 1.1968,                  1.556,                 1.4579,               0.008152,               0.008152,               0.008152
                     16,                 1.1727,                 1.7773,                 1.4375,                0.60972,                0.49966,                0.50365,                0.34352,                 1.2028,                 1.5556,                 1.4673,                0.00802,                0.00802,                0.00802
                     17,                 1.1633,                 1.7415,                 1.4251,                0.61777,                0.50973,                0.51208,                0.35045,                 1.1846,                 1.5218,                 1.4474,               0.007888,               0.007888,               0.007888
                     18,                 1.1556,                 1.7413,                 1.4217,                0.61492,                0.51127,                0.51206,                0.34772,                 1.1817,                  1.512,                 1.4348,               0.007756,               0.007756,               0.007756
                     19,                 1.1497,                  1.713,                 1.4159,                 0.6325,                0.50778,                0.51917,                0.35799,                 1.1644,                 1.4963,                  1.428,               0.007624,               0.007624,               0.007624
                     20,                 1.1406,                 1.6766,                 1.4115,                0.64866,                0.51334,                0.52617,                0.36541,                 1.1537,                  1.462,                 1.4187,               0.007492,               0.007492,               0.007492
                     21,                 1.1349,                   1.67,                 1.4068,                0.63374,                0.53034,                0.53597,                0.37312,                 1.1519,                 1.4356,                 1.4254,                0.00736,                0.00736,                0.00736
                     22,                 1.1193,                 1.6514,                 1.3957,                0.63409,                0.53625,                0.54132,                0.37532,                 1.1386,                 1.4234,                 1.4118,               0.007228,               0.007228,               0.007228
                     23,                 1.1149,                 1.6335,                 1.3911,                0.65356,                0.53839,                0.54685,                0.38203,                 1.1293,                 1.4134,                 1.3997,               0.007096,               0.007096,               0.007096
                     24,                 1.1119,                 1.6211,                 1.3887,                0.63884,                0.54338,                0.54194,                0.37975,                  1.127,                  1.407,                 1.3966,               0.006964,               0.006964,               0.006964
                     25,                 1.0987,                 1.6031,                 1.3802,                 0.6539,                0.54321,                0.54695,                0.38589,                 1.1062,                 1.3879,                 1.3821,               0.006832,               0.006832,               0.006832
                     26,                 1.1044,                 1.6054,                 1.3839,                0.66363,                0.54045,                0.55257,                0.39046,                 1.1063,                 1.3657,                 1.3804,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.0879,                 1.5865,                 1.3754,                0.64272,                0.55877,                0.55377,                0.39322,                 1.1096,                 1.3721,                 1.3851,               0.006568,               0.006568,               0.006568
                     28,                 1.0923,                 1.5749,                 1.3741,                0.68627,                0.54113,                0.55273,                0.39448,                 1.0946,                 1.3601,                 1.3748,               0.006436,               0.006436,               0.006436
                     29,                 1.0795,                 1.5422,                 1.3654,                0.66684,                0.56516,                0.56549,                0.40255,                 1.0938,                 1.3429,                 1.3681,               0.006304,               0.006304,               0.006304
                     30,                 1.0761,                  1.541,                 1.3652,                0.67712,                0.55874,                0.56897,                0.40908,                 1.0868,                 1.3229,                 1.3631,               0.006172,               0.006172,               0.006172
                     31,                 1.0787,                 1.5409,                 1.3644,                 0.6696,                0.56345,                0.56781,                 0.4064,                  1.088,                 1.3207,                 1.3645,                0.00604,                0.00604,                0.00604
                     32,                 1.0696,                 1.5171,                 1.3535,                0.66514,                0.56863,                0.56854,                0.41015,                 1.0836,                 1.3097,                 1.3594,               0.005908,               0.005908,               0.005908
                     33,                  1.065,                 1.4997,                 1.3531,                0.67958,                0.57186,                0.57763,                0.41688,                 1.0793,                 1.2979,                 1.3579,               0.005776,               0.005776,               0.005776
                     34,                 1.0572,                 1.4906,                 1.3461,                0.66908,                0.57122,                0.57606,                0.41931,                 1.0696,                 1.2941,                 1.3449,               0.005644,               0.005644,               0.005644
                     35,                 1.0502,                  1.467,                  1.341,                0.67642,                0.57029,                0.58129,                0.42093,                 1.0636,                 1.2846,                 1.3429,               0.005512,               0.005512,               0.005512
