                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2232,                 3.1505,                 1.4586,                0.45518,                0.37759,                0.30277,                0.19865,                 1.3258,                 2.1525,                 1.5543,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3372,                 2.6668,                 1.5394,                0.41066,                0.28049,                0.22588,                0.13523,                 1.5265,                 2.5034,                  1.769,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.4824,                 2.8721,                 1.6591,                0.29019,                0.18661,                0.11728,                0.05907,                  1.771,                 2.9087,                 1.9891,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.5584,                  2.928,                 1.7199,                0.28845,                 0.2309,                0.16794,                0.09369,                 1.6879,                 2.7096,                 1.9179,               0.009604,               0.009604,               0.009604
                      5,                 1.5188,                 2.7761,                 1.7048,                0.33798,                0.26648,                0.19855,                0.11224,                 1.6695,                 2.6172,                 1.9304,               0.009472,               0.009472,               0.009472
                      6,                 1.4906,                 2.6548,                 1.6775,                0.37601,                0.29335,                0.22515,                0.13106,                 1.6069,                 2.4594,                 1.8337,                0.00934,                0.00934,                0.00934
                      7,                 1.4601,                 2.5576,                 1.6495,                0.40016,                0.31655,                0.24801,                0.14905,                 1.5506,                 2.3486,                 1.7814,               0.009208,               0.009208,               0.009208
                      8,                 1.4446,                  2.507,                 1.6425,                0.39179,                0.32735,                0.25331,                0.15562,                 1.5295,                   2.28,                 1.7476,               0.009076,               0.009076,               0.009076
                      9,                 1.4179,                 2.4436,                 1.6234,                0.42506,                0.34165,                0.27992,                0.17515,                 1.5008,                 2.2404,                 1.7365,               0.008944,               0.008944,               0.008944
                     10,                  1.413,                 2.4228,                 1.6235,                0.44192,                 0.3567,                0.29168,                0.18144,                 1.5108,                 2.2011,                  1.744,               0.008812,               0.008812,               0.008812
                     11,                 1.3874,                 2.3652,                 1.6043,                0.46289,                0.36232,                0.30304,                0.19433,                 1.4527,                 2.1476,                 1.6992,                0.00868,                0.00868,                0.00868
                     12,                 1.3749,                 2.3333,                 1.5969,                0.46499,                0.37029,                 0.3124,                0.20117,                 1.4471,                 2.1009,                 1.7015,               0.008548,               0.008548,               0.008548
                     13,                  1.365,                 2.2992,                 1.5849,                0.47084,                0.38332,                 0.3219,                0.20796,                 1.4379,                 2.0551,                 1.6823,               0.008416,               0.008416,               0.008416
                     14,                 1.3454,                 2.2578,                 1.5711,                0.48389,                0.38609,                0.32571,                0.21331,                 1.4233,                  2.053,                 1.6696,               0.008284,               0.008284,               0.008284
                     15,                 1.3567,                 2.2615,                 1.5734,                0.49002,                0.38492,                0.33419,                0.22428,                 1.3961,                 2.0018,                 1.6529,               0.008152,               0.008152,               0.008152
                     16,                 1.3346,                 2.2163,                 1.5657,                0.50541,                 0.3865,                0.34045,                0.22781,                  1.393,                 1.9772,                  1.648,                0.00802,                0.00802,                0.00802
                     17,                 1.3259,                 2.1984,                  1.557,                0.48593,                0.40435,                0.33447,                0.22002,                  1.397,                 1.9678,                 1.6524,               0.007888,               0.007888,               0.007888
                     18,                 1.3174,                 2.1764,                 1.5515,                0.51256,                0.40426,                0.34385,                0.22954,                 1.3775,                 1.9544,                 1.6268,               0.007756,               0.007756,               0.007756
                     19,                 1.3098,                 2.1665,                 1.5433,                 0.5041,                 0.4156,                0.34693,                0.23437,                 1.3652,                 1.9178,                 1.6254,               0.007624,               0.007624,               0.007624
                     20,                 1.3042,                 2.1494,                 1.5413,                 0.5014,                0.40783,                0.35079,                0.23618,                 1.3615,                 1.9219,                 1.6192,               0.007492,               0.007492,               0.007492
                     21,                 1.2938,                 2.1159,                 1.5345,                0.53527,                0.40668,                 0.3531,                0.23992,                 1.3518,                 1.8896,                 1.6113,                0.00736,                0.00736,                0.00736
                     22,                 1.2863,                 2.1014,                 1.5233,                0.52237,                0.40756,                0.35506,                0.24422,                 1.3423,                 1.8916,                 1.6166,               0.007228,               0.007228,               0.007228
                     23,                 1.2834,                 2.0877,                 1.5261,                0.51874,                0.41807,                0.36031,                0.24708,                 1.3352,                 1.8633,                 1.6063,               0.007096,               0.007096,               0.007096
                     24,                 1.2723,                 2.0558,                 1.5146,                0.52451,                 0.4239,                0.36209,                0.25071,                 1.3294,                 1.8464,                 1.5953,               0.006964,               0.006964,               0.006964
                     25,                 1.2645,                 2.0479,                 1.5088,                0.53293,                 0.4303,                0.36896,                0.25712,                 1.3119,                  1.835,                 1.5845,               0.006832,               0.006832,               0.006832
                     26,                 1.2644,                 2.0433,                 1.5102,                0.52419,                0.43772,                 0.3738,                0.26071,                 1.3145,                  1.819,                 1.5821,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.2551,                 2.0264,                 1.5059,                0.52779,                0.43877,                0.37145,                0.25668,                 1.3152,                  1.817,                 1.5828,               0.006568,               0.006568,               0.006568
                     28,                 1.2523,                 2.0196,                 1.5042,                0.54181,                0.43502,                0.37784,                0.26393,                 1.2979,                 1.7883,                  1.572,               0.006436,               0.006436,               0.006436
                     29,                 1.2474,                 1.9957,                 1.4963,                0.54385,                0.43618,                0.37853,                0.26206,                 1.3019,                 1.7843,                 1.5699,               0.006304,               0.006304,               0.006304
                     30,                 1.2412,                  1.991,                 1.4924,                0.53779,                0.44853,                 0.3791,                0.26483,                 1.2928,                 1.7729,                 1.5608,               0.006172,               0.006172,               0.006172
                     31,                 1.2315,                 1.9769,                 1.4869,                0.54803,                0.44282,                0.38173,                0.26793,                 1.2886,                 1.7668,                  1.561,                0.00604,                0.00604,                0.00604
                     32,                 1.2234,                 1.9554,                 1.4835,                 0.5517,                0.43884,                0.38273,                0.26921,                 1.2805,                 1.7583,                 1.5534,               0.005908,               0.005908,               0.005908
