                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99084,                 2.6248,                 1.2686,                0.61628,                0.60093,                0.61477,                0.41498,                 1.0193,                 1.4654,                 1.2602,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1058,                 2.0007,                 1.3518,                0.44756,                0.42277,                0.38716,                 0.2335,                 1.3073,                 1.9759,                  1.542,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2352,                 2.1874,                 1.4562,                0.38834,                0.32571,                0.27643,                0.15107,                 1.4824,                   2.27,                 1.7389,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3168,                 2.2736,                  1.528,                0.46521,                 0.4315,                0.41462,                0.23991,                 1.3825,                 1.9428,                 1.5976,               0.009604,               0.009604,               0.009604
                      5,                 1.2771,                 2.0834,                 1.4994,                0.50011,                0.44395,                0.44534,                0.27417,                 1.3192,                 1.8273,                 1.5538,               0.009472,               0.009472,               0.009472
                      6,                 1.2408,                 1.9373,                 1.4706,                0.55913,                 0.4698,                0.49729,                0.31205,                 1.2601,                  1.664,                 1.4884,                0.00934,                0.00934,                0.00934
                      7,                 1.2105,                 1.8308,                 1.4417,                0.58156,                0.51076,                0.54188,                0.34339,                 1.2319,                 1.5879,                 1.4589,               0.009208,               0.009208,               0.009208
                      8,                 1.1898,                 1.7556,                 1.4349,                0.61917,                0.52227,                0.55843,                0.36121,                 1.2006,                 1.5075,                 1.4435,               0.009076,               0.009076,               0.009076
                      9,                 1.1607,                 1.6953,                 1.4143,                 0.6148,                0.56032,                0.58715,                0.38599,                 1.1637,                 1.4102,                 1.4042,               0.008944,               0.008944,               0.008944
                     10,                 1.1529,                 1.6463,                 1.4036,                0.64803,                0.54595,                0.60351,                0.39898,                 1.1693,                 1.4082,                 1.4202,               0.008812,               0.008812,               0.008812
                     11,                 1.1322,                 1.6071,                 1.3911,                0.67368,                0.55202,                0.61569,                0.41426,                 1.1352,                 1.3736,                 1.3851,                0.00868,                0.00868,                0.00868
                     12,                   1.12,                 1.5723,                 1.3829,                0.67839,                0.56606,                0.63228,                0.42721,                 1.1266,                 1.3173,                   1.37,               0.008548,               0.008548,               0.008548
                     13,                 1.1075,                  1.536,                 1.3713,                0.68736,                0.58305,                0.64303,                0.43784,                 1.1173,                  1.277,                 1.3605,               0.008416,               0.008416,               0.008416
                     14,                 1.0928,                 1.5103,                 1.3624,                0.68505,                 0.5901,                0.64501,                0.44402,                 1.0802,                 1.2522,                 1.3377,               0.008284,               0.008284,               0.008284
                     15,                 1.0826,                 1.4899,                 1.3533,                0.69904,                0.58803,                0.65416,                0.44752,                 1.0779,                 1.2357,                 1.3247,               0.008152,               0.008152,               0.008152
                     16,                 1.0766,                 1.4601,                 1.3485,                 0.7061,                0.58845,                0.66325,                0.45843,                 1.0777,                 1.2125,                 1.3305,                0.00802,                0.00802,                0.00802
                     17,                 1.0676,                 1.4332,                 1.3391,                 0.7067,                0.60119,                0.67172,                0.46645,                 1.0668,                 1.1835,                 1.3132,               0.007888,               0.007888,               0.007888
                     18,                 1.0589,                 1.4193,                 1.3346,                0.70566,                0.63069,                0.69114,                0.48178,                 1.0453,                 1.1474,                 1.2984,               0.007756,               0.007756,               0.007756
                     19,                 1.0541,                 1.3954,                 1.3296,                 0.7175,                0.61883,                0.69034,                0.48577,                 1.0422,                 1.1424,                 1.2919,               0.007624,               0.007624,               0.007624
                     20,                 1.0486,                 1.3648,                 1.3275,                 0.7117,                0.63371,                0.69976,                0.48971,                  1.045,                 1.1296,                 1.3026,               0.007492,               0.007492,               0.007492
                     21,                 1.0409,                 1.3539,                 1.3206,                0.74894,                0.61178,                0.70332,                 0.4985,                 1.0252,                 1.1034,                 1.2842,                0.00736,                0.00736,                0.00736
                     22,                 1.0268,                 1.3367,                 1.3121,                0.73825,                 0.6362,                0.70298,                0.49585,                 1.0233,                 1.0897,                 1.2817,               0.007228,               0.007228,               0.007228
                     23,                  1.023,                 1.3219,                 1.3096,                0.73213,                 0.6546,                0.71833,                0.51341,                 1.0216,                 1.0772,                 1.2778,               0.007096,               0.007096,               0.007096
                     24,                 1.0219,                 1.3119,                 1.3081,                 0.7151,                0.66419,                0.71891,                0.51525,                 1.0112,                 1.0615,                 1.2685,               0.006964,               0.006964,               0.006964
                     25,                 1.0123,                  1.303,                 1.3037,                0.73701,                0.64345,                 0.7206,                0.51674,                  1.003,                 1.0514,                 1.2642,               0.006832,               0.006832,               0.006832
                     26,                 1.0101,                  1.284,                  1.301,                0.74184,                0.66167,                0.72892,                0.52448,                0.98793,                 1.0369,                 1.2513,                 0.0067,                 0.0067,                 0.0067
                     27,                0.99549,                 1.2746,                 1.2929,                0.75374,                0.65045,                0.72865,                0.52433,                0.98757,                 1.0367,                 1.2505,               0.006568,               0.006568,               0.006568
                     28,                0.99923,                 1.2605,                 1.2879,                0.74561,                0.66524,                0.72779,                0.52503,                0.98306,                 1.0318,                 1.2477,               0.006436,               0.006436,               0.006436
                     29,                0.98999,                 1.2348,                  1.283,                0.76117,                0.66956,                0.73901,                0.53424,                0.97654,                 1.0046,                 1.2403,               0.006304,               0.006304,               0.006304
