                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98669,                   2.86,                  1.269,                0.56654,                0.48213,                0.46434,                0.31203,                  1.059,                 1.8299,                 1.2976,              0.0033295,              0.0033295,              0.0033295
                      2,                  1.103,                 2.2726,                 1.3485,                0.50923,                0.39988,                0.39096,                 0.2468,                 1.1999,                 1.9655,                 1.4157,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2348,                 2.4747,                 1.4555,                0.37124,                0.32457,                0.27902,                0.15904,                 1.4153,                 2.2808,                 1.6539,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3204,                 2.5359,                 1.5327,                0.38476,                0.35032,                0.29478,                0.16974,                 1.4386,                 2.3306,                 1.6955,               0.009604,               0.009604,               0.009604
                      5,                 1.2772,                 2.3551,                 1.4965,                0.46855,                0.38014,                0.34604,                   0.21,                  1.338,                 2.1572,                 1.5697,               0.009472,               0.009472,               0.009472
                      6,                 1.2431,                 2.2314,                 1.4691,                0.52453,                0.42268,                0.40312,                0.25233,                 1.2449,                 1.9435,                 1.4888,                0.00934,                0.00934,                0.00934
                      7,                 1.2122,                 2.1489,                 1.4514,                0.53057,                0.41921,                 0.4004,                0.25121,                 1.2356,                 1.8912,                 1.4723,               0.009208,               0.009208,               0.009208
                      8,                  1.191,                  2.076,                  1.437,                0.53417,                0.44805,                0.43096,                0.28175,                 1.2048,                 1.8058,                 1.4335,               0.009076,               0.009076,               0.009076
                      9,                 1.1693,                 1.9978,                 1.4161,                0.55804,                0.46447,                0.45789,                0.30103,                 1.1722,                 1.7416,                 1.4093,               0.008944,               0.008944,               0.008944
                     10,                 1.1619,                 1.9596,                 1.4091,                0.56889,                0.47101,                0.45857,                0.30459,                 1.1551,                 1.7111,                 1.3937,               0.008812,               0.008812,               0.008812
                     11,                  1.143,                 1.9147,                 1.3949,                 0.5875,                0.47187,                0.47172,                0.31803,                 1.1238,                 1.6681,                 1.3718,                0.00868,                0.00868,                0.00868
                     12,                 1.1285,                 1.8987,                 1.3883,                0.58712,                0.47722,                0.47384,                0.31849,                 1.1109,                  1.662,                 1.3604,               0.008548,               0.008548,               0.008548
                     13,                 1.1148,                 1.8576,                 1.3783,                0.59464,                0.50146,                0.49333,                0.33719,                  1.102,                  1.586,                 1.3467,               0.008416,               0.008416,               0.008416
                     14,                  1.102,                 1.8198,                  1.369,                 0.5836,                 0.5207,                 0.5028,                0.34175,                 1.0886,                 1.5518,                 1.3355,               0.008284,               0.008284,               0.008284
                     15,                 1.0946,                 1.7997,                 1.3622,                0.61106,                0.51088,                0.51168,                0.35214,                 1.0878,                 1.5514,                 1.3447,               0.008152,               0.008152,               0.008152
                     16,                 1.0824,                 1.7814,                 1.3529,                0.60801,                0.52082,                0.51733,                0.35609,                 1.0697,                 1.5211,                 1.3257,                0.00802,                0.00802,                0.00802
                     17,                 1.0784,                 1.7585,                   1.35,                0.64399,                0.52297,                0.52841,                0.36768,                 1.0582,                 1.4966,                 1.3141,               0.007888,               0.007888,               0.007888
                     18,                 1.0686,                 1.7359,                 1.3422,                0.62031,                0.52105,                 0.5241,                0.36637,                 1.0548,                 1.4888,                 1.3101,               0.007756,               0.007756,               0.007756
                     19,                 1.0594,                 1.7202,                 1.3347,                0.63331,                0.52734,                0.53366,                0.37506,                 1.0425,                 1.4598,                 1.3054,               0.007624,               0.007624,               0.007624
                     20,                 1.0548,                 1.6951,                 1.3328,                0.62763,                 0.5315,                0.53454,                0.37868,                 1.0252,                 1.4529,                 1.2921,               0.007492,               0.007492,               0.007492
                     21,                 1.0445,                 1.6698,                 1.3234,                 0.6594,                0.53922,                0.54924,                0.39072,                 1.0224,                 1.4246,                 1.2844,                0.00736,                0.00736,                0.00736
