                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2159,                 3.1517,                 1.4486,                0.45148,                0.37039,                0.30402,                0.19921,                 1.3783,                 2.1962,                  1.592,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3478,                 2.6703,                 1.5456,                0.36263,                0.27267,                0.20967,                0.12323,                 1.5815,                 2.5905,                 1.7848,              0.0065749,              0.0065749,              0.0065749
                      3,                  1.471,                 2.8435,                 1.6466,                0.27769,                0.19993,                0.13308,                0.07103,                 1.7547,                 2.9235,                 1.9968,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.5548,                 2.9305,                 1.7281,                0.29159,                 0.2249,                0.15424,                0.08305,                 1.7339,                 2.7759,                  1.954,               0.009604,               0.009604,               0.009604
                      5,                 1.5176,                 2.7688,                 1.7043,                0.36362,                0.27905,                0.21245,                0.12209,                 1.6355,                 2.5408,                 1.8373,               0.009472,               0.009472,               0.009472
                      6,                 1.4814,                  2.642,                 1.6764,                0.36499,                0.30184,                 0.2281,                0.13261,                 1.6287,                 2.5207,                  1.831,                0.00934,                0.00934,                0.00934
                      7,                 1.4603,                 2.5635,                 1.6595,                0.42303,                0.30225,                0.25169,                0.14998,                 1.5818,                 2.4415,                 1.8144,               0.009208,               0.009208,               0.009208
                      8,                 1.4395,                 2.4971,                 1.6442,                0.38521,                0.32955,                0.25872,                0.15992,                 1.5293,                 2.3365,                 1.7647,               0.009076,               0.009076,               0.009076
                      9,                 1.4151,                 2.4361,                 1.6217,                0.41258,                0.34587,                0.27558,                 0.1732,                 1.5238,                 2.2653,                 1.7415,               0.008944,               0.008944,               0.008944
                     10,                 1.3959,                 2.3848,                 1.6105,                0.44472,                 0.3446,                0.28658,                0.18226,                 1.5214,                 2.2714,                 1.7653,               0.008812,               0.008812,               0.008812
                     11,                 1.3826,                  2.366,                 1.6009,                0.42498,                0.35711,                0.28619,                 0.1816,                 1.4814,                 2.2056,                 1.7223,                0.00868,                0.00868,                0.00868
                     12,                 1.3747,                 2.3272,                  1.595,                0.46037,                0.36267,                0.30402,                0.19528,                 1.4712,                 2.1657,                 1.7087,               0.008548,               0.008548,               0.008548
                     13,                 1.3627,                 2.2916,                 1.5831,                0.47604,                0.37288,                0.31392,                0.20032,                 1.4651,                 2.1068,                 1.6969,               0.008416,               0.008416,               0.008416
                     14,                  1.354,                  2.283,                 1.5818,                0.48479,                0.36061,                0.31903,                 0.2072,                 1.4538,                 2.1066,                 1.6978,               0.008284,               0.008284,               0.008284
                     15,                 1.3443,                 2.2467,                 1.5702,                 0.4582,                0.38962,                0.31872,                0.20898,                  1.432,                 2.0883,                 1.6801,               0.008152,               0.008152,               0.008152
                     16,                 1.3375,                 2.2221,                  1.568,                0.49585,                0.38733,                0.32691,                 0.2137,                 1.4322,                 2.0433,                 1.6683,                0.00802,                0.00802,                0.00802
                     17,                 1.3204,                 2.1975,                 1.5571,                 0.4889,                 0.3996,                0.33317,                0.21905,                 1.4103,                 2.0128,                 1.6523,               0.007888,               0.007888,               0.007888
                     18,                 1.3262,                 2.1864,                 1.5574,                0.50008,                0.40228,                0.33914,                0.22525,                 1.4058,                 1.9924,                 1.6575,               0.007756,               0.007756,               0.007756
                     19,                 1.3036,                 2.1461,                 1.5417,                 0.4957,                0.40593,                0.34112,                0.22809,                 1.3935,                  1.985,                 1.6414,               0.007624,               0.007624,               0.007624
                     20,                 1.2988,                 2.1364,                 1.5393,                0.50108,                0.40542,                0.34614,                0.23384,                 1.3791,                 1.9482,                 1.6352,               0.007492,               0.007492,               0.007492
                     21,                 1.2941,                 2.1175,                 1.5335,                0.51733,                0.40676,                0.34813,                0.23427,                 1.3778,                 1.9361,                 1.6319,                0.00736,                0.00736,                0.00736
                     22,                 1.2857,                 2.1021,                 1.5258,                0.50973,                0.41563,                 0.3524,                0.23896,                 1.3637,                 1.9302,                 1.6136,               0.007228,               0.007228,               0.007228
                     23,                 1.2778,                  2.074,                  1.524,                0.52392,                0.40924,                0.35645,                0.24433,                 1.3445,                 1.9019,                 1.6025,               0.007096,               0.007096,               0.007096
                     24,                 1.2661,                 2.0577,                 1.5116,                0.52243,                  0.418,                  0.357,                0.24367,                 1.3533,                 1.8897,                 1.6018,               0.006964,               0.006964,               0.006964
                     25,                 1.2678,                 2.0452,                 1.5126,                0.53729,                0.42199,                0.36693,                0.25369,                 1.3367,                 1.8658,                 1.5947,               0.006832,               0.006832,               0.006832
                     26,                 1.2615,                 2.0423,                 1.5118,                0.53764,                0.42306,                0.36598,                0.25095,                 1.3444,                 1.8614,                 1.5937,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.2561,                 2.0251,                 1.5075,                0.55046,                0.42703,                0.36911,                0.25562,                 1.3334,                 1.8486,                 1.5892,               0.006568,               0.006568,               0.006568
                     28,                 1.2522,                 2.0119,                 1.5038,                0.53848,                0.42532,                0.36537,                0.25271,                 1.3188,                 1.8298,                 1.5768,               0.006436,               0.006436,               0.006436
                     29,                 1.2446,                 2.0014,                 1.5009,                0.54637,                0.42485,                0.36618,                0.25213,                 1.3214,                 1.8317,                 1.5785,               0.006304,               0.006304,               0.006304
                     30,                 1.2307,                 1.9775,                 1.4892,                0.54524,                0.43068,                0.37399,                0.26156,                  1.303,                 1.8141,                 1.5652,               0.006172,               0.006172,               0.006172
                     31,                 1.2308,                 1.9766,                 1.4918,                 0.5475,                0.43587,                0.37292,                0.26037,                 1.3046,                 1.8064,                  1.568,                0.00604,                0.00604,                0.00604
                     32,                 1.2322,                 1.9548,                 1.4877,                0.56273,                0.43822,                 0.3788,                0.26497,                 1.3099,                 1.7925,                  1.571,               0.005908,               0.005908,               0.005908
                     33,                 1.2192,                 1.9435,                 1.4809,                0.55951,                0.43728,                0.37594,                 0.2627,                 1.2986,                 1.7876,                 1.5582,               0.005776,               0.005776,               0.005776
                     34,                 1.2116,                 1.9256,                 1.4751,                0.55821,                0.43507,                 0.3776,                0.26529,                 1.2973,                 1.7768,                 1.5614,               0.005644,               0.005644,               0.005644
                     35,                 1.2115,                 1.9182,                 1.4712,                0.54713,                0.44599,                 0.3774,                0.26661,                 1.2905,                  1.772,                 1.5558,               0.005512,               0.005512,               0.005512
                     36,                  1.202,                 1.9084,                  1.469,                0.55582,                 0.4482,                0.38147,                 0.2688,                 1.2863,                 1.7592,                 1.5523,                0.00538,                0.00538,                0.00538
                     37,                 1.1998,                 1.8948,                 1.4652,                0.54925,                0.45476,                0.38621,                0.27135,                 1.2841,                 1.7593,                 1.5543,               0.005248,               0.005248,               0.005248
                     38,                 1.1924,                  1.892,                 1.4632,                 0.5587,                0.45336,                 0.3863,                0.27196,                 1.2889,                 1.7561,                 1.5581,               0.005116,               0.005116,               0.005116
                     39,                 1.1909,                 1.8794,                 1.4595,                0.56373,                0.44777,                0.38459,                  0.272,                 1.2785,                 1.7515,                 1.5484,               0.004984,               0.004984,               0.004984
                     40,                 1.1868,                 1.8665,                 1.4568,                0.56387,                0.44863,                0.38736,                0.27477,                 1.2807,                 1.7413,                 1.5495,               0.004852,               0.004852,               0.004852
                     41,                  1.179,                 1.8661,                 1.4521,                0.56833,                0.45018,                 0.3909,                0.27771,                 1.2789,                 1.7382,                 1.5464,                0.00472,                0.00472,                0.00472
                     42,                 1.1745,                 1.8517,                 1.4475,                0.56629,                0.45831,                0.39198,                0.27871,                 1.2703,                 1.7351,                  1.537,               0.004588,               0.004588,               0.004588
