                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98553,                 3.1297,                 1.2732,                0.45084,                0.37392,                0.31619,                0.21093,                 1.0591,                 2.1558,                 1.3185,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1018,                 2.6053,                 1.3498,                0.35537,                0.30674,                0.24087,                0.14472,                 1.2411,                 2.4142,                 1.4761,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2404,                  2.755,                 1.4617,                0.30493,                0.23309,                 0.1713,                 0.0953,                 1.4363,                 2.6499,                 1.6702,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3225,                 2.8105,                 1.5278,                0.36452,                0.28002,                0.21835,                0.12837,                 1.4024,                 2.4754,                 1.6228,               0.009604,               0.009604,               0.009604
                      5,                 1.2816,                 2.6575,                 1.5077,                0.35869,                0.27418,                0.20804,                 0.1262,                 1.3145,                 2.4402,                 1.5506,               0.009472,               0.009472,               0.009472
                      6,                 1.2461,                 2.5382,                 1.4732,                0.39545,                0.32687,                0.26249,                0.16883,                 1.2335,                 2.2773,                 1.4859,                0.00934,                0.00934,                0.00934
                      7,                 1.2205,                 2.4491,                 1.4515,                0.41196,                0.33394,                0.27858,                0.17439,                 1.2238,                 2.1858,                 1.4602,               0.009208,               0.009208,               0.009208
                      8,                 1.1931,                 2.3887,                 1.4382,                0.45664,                0.34122,                0.29543,                0.19178,                 1.2116,                 2.1234,                 1.4408,               0.009076,               0.009076,               0.009076
                      9,                 1.1785,                 2.3285,                 1.4233,                0.44829,                0.35787,                0.29869,                0.19684,                 1.1749,                 2.1028,                 1.4138,               0.008944,               0.008944,               0.008944
                     10,                 1.1649,                 2.2874,                 1.4175,                 0.4646,                0.36864,                 0.3148,                0.20924,                 1.1572,                 2.0261,                 1.3993,               0.008812,               0.008812,               0.008812
                     11,                 1.1432,                 2.2555,                  1.399,                0.43693,                0.36976,                0.31142,                0.20419,                 1.1585,                 2.0158,                 1.3964,                0.00868,                0.00868,                0.00868
                     12,                 1.1336,                 2.2181,                 1.3936,                0.47045,                0.37505,                0.32537,                0.21926,                 1.1158,                 1.9762,                 1.3739,               0.008548,               0.008548,               0.008548
                     13,                 1.1186,                  2.184,                 1.3812,                0.49776,                0.38059,                0.33623,                0.22466,                 1.1026,                  1.934,                 1.3562,               0.008416,               0.008416,               0.008416
