                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0792,                 2.8481,                 1.3443,                0.55427,                  0.476,                0.45892,                0.30513,                 1.1571,                 1.7344,                 1.3769,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1903,                 2.2549,                 1.4226,                 0.4592,                0.37394,                0.34212,                 0.2094,                 1.3897,                 2.1809,                 1.6336,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.3279,                 2.4699,                  1.536,                 0.2361,                0.18399,                0.12505,                0.05984,                 1.8475,                 3.0375,                 2.1754,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.4051,                 2.5442,                 1.6072,                0.37784,                0.35472,                0.29118,                0.16333,                 1.5196,                 2.2544,                 1.7216,               0.009604,               0.009604,               0.009604
                      5,                 1.3704,                 2.3765,                 1.5846,                0.46277,                 0.3918,                0.36023,                0.21345,                 1.4273,                 2.0273,                 1.6351,               0.009472,               0.009472,               0.009472
                      6,                 1.3369,                  2.231,                 1.5592,                0.49149,                0.40392,                0.37502,                0.22822,                 1.4039,                 2.0151,                 1.6379,                0.00934,                0.00934,                0.00934
                      7,                 1.3028,                 2.1393,                  1.533,                0.50294,                0.41573,                0.40488,                0.25057,                 1.3573,                 1.9216,                 1.5839,               0.009208,               0.009208,               0.009208
                      8,                 1.2819,                  2.076,                 1.5165,                 0.5384,                0.44951,                0.44314,                0.28199,                  1.318,                 1.8215,                 1.5694,               0.009076,               0.009076,               0.009076
                      9,                 1.2631,                 2.0243,                 1.5058,                0.55516,                0.45948,                0.44556,                0.28781,                 1.3063,                 1.7611,                 1.5433,               0.008944,               0.008944,               0.008944
                     10,                  1.242,                 1.9753,                 1.4888,                0.53026,                0.46054,                0.44687,                0.29288,                 1.2926,                 1.7543,                 1.5364,               0.008812,               0.008812,               0.008812
                     11,                 1.2316,                 1.9403,                 1.4793,                 0.5545,                0.49145,                0.46257,                0.30207,                 1.2756,                 1.6796,                 1.5139,                0.00868,                0.00868,                0.00868
                     12,                 1.2185,                 1.9067,                  1.472,                0.60566,                0.46625,                0.48041,                0.31956,                 1.2567,                 1.6601,                 1.4986,               0.008548,               0.008548,               0.008548
                     13,                 1.2009,                 1.8541,                 1.4561,                0.60743,                0.48539,                 0.4804,                0.32076,                 1.2308,                 1.6419,                 1.4793,               0.008416,               0.008416,               0.008416
                     14,                 1.1913,                 1.8349,                 1.4514,                 0.6005,                0.50148,                0.49258,                 0.3295,                 1.2194,                 1.5876,                 1.4753,               0.008284,               0.008284,               0.008284
                     15,                   1.18,                 1.8018,                 1.4426,                0.61441,                0.51193,                0.50044,                0.33718,                 1.2033,                  1.566,                 1.4558,               0.008152,               0.008152,               0.008152
                     16,                 1.1746,                 1.7812,                 1.4371,                0.61995,                0.51684,                0.51411,                0.34814,                 1.1938,                 1.5478,                 1.4399,                0.00802,                0.00802,                0.00802
                     17,                 1.1617,                 1.7546,                 1.4287,                0.61374,                0.51399,                0.51529,                0.35534,                 1.1826,                 1.5284,                 1.4373,               0.007888,               0.007888,               0.007888
                     18,                 1.1558,                 1.7346,                 1.4223,                0.62535,                0.52103,                 0.5191,                0.35426,                 1.1796,                 1.5216,                 1.4358,               0.007756,               0.007756,               0.007756
                     19,                 1.1457,                 1.7142,                 1.4149,                0.63159,                0.53477,                 0.5303,                 0.3656,                 1.1682,                 1.4699,                 1.4219,               0.007624,               0.007624,               0.007624
                     20,                 1.1333,                 1.6909,                 1.4085,                0.63425,                0.53051,                0.53741,                0.37487,                 1.1467,                 1.4661,                 1.4117,               0.007492,               0.007492,               0.007492
                     21,                 1.1361,                 1.6721,                 1.4072,                 0.6501,                0.53459,                0.54165,                0.37759,                 1.1483,                 1.4323,                 1.4063,                0.00736,                0.00736,                0.00736
                     22,                 1.1247,                 1.6492,                 1.3963,                0.64712,                0.53934,                0.54062,                0.37781,                 1.1505,                 1.4373,                 1.4113,               0.007228,               0.007228,               0.007228
                     23,                 1.1215,                 1.6512,                 1.3993,                0.65201,                0.54555,                0.55093,                0.38851,                 1.1353,                 1.4047,                 1.3946,               0.007096,               0.007096,               0.007096
                     24,                 1.1129,                 1.6301,                 1.3912,                0.65618,                0.55168,                0.55272,                0.38995,                  1.131,                 1.3974,                 1.3894,               0.006964,               0.006964,               0.006964
                     25,                 1.1146,                 1.6132,                 1.3909,                0.65275,                 0.5536,                 0.5584,                0.39621,                 1.1148,                 1.3754,                 1.3844,               0.006832,               0.006832,               0.006832
                     26,                 1.1013,                 1.5998,                 1.3816,                0.66236,                0.55071,                0.55926,                0.39679,                 1.1103,                 1.3641,                 1.3735,                 0.0067,                 0.0067,                 0.0067
                     27,                  1.104,                 1.5935,                 1.3846,                0.66672,                0.56541,                0.56833,                 0.4022,                 1.1087,                 1.3568,                 1.3697,               0.006568,               0.006568,               0.006568
                     28,                 1.0915,                 1.5774,                 1.3767,                0.66741,                0.56792,                0.56888,                0.40793,                 1.1015,                 1.3452,                 1.3642,               0.006436,               0.006436,               0.006436
                     29,                 1.0874,                 1.5674,                 1.3754,                0.66678,                0.56806,                0.57322,                0.41197,                 1.0928,                 1.3291,                 1.3596,               0.006304,               0.006304,               0.006304
                     30,                 1.0778,                 1.5429,                 1.3687,                0.67998,                0.56804,                0.58035,                0.41638,                 1.0918,                 1.3238,                 1.3598,               0.006172,               0.006172,               0.006172
                     31,                 1.0739,                 1.5362,                 1.3619,                0.68049,                0.57927,                0.58056,                0.41796,                 1.0842,                  1.313,                 1.3544,                0.00604,                0.00604,                0.00604
                     32,                 1.0762,                 1.5238,                 1.3627,                0.67457,                0.58021,                0.58011,                0.41858,                 1.0823,                 1.3081,                 1.3514,               0.005908,               0.005908,               0.005908
                     33,                 1.0649,                 1.5096,                 1.3567,                0.68346,                0.57447,                0.58403,                0.42131,                 1.0815,                  1.299,                 1.3504,               0.005776,               0.005776,               0.005776
                     34,                 1.0625,                 1.5084,                 1.3568,                0.69131,                0.56418,                0.58241,                0.41937,                 1.0772,                 1.2878,                 1.3447,               0.005644,               0.005644,               0.005644
                     35,                 1.0544,                 1.4823,                 1.3474,                0.69004,                0.57386,                 0.5887,                0.42688,                 1.0704,                 1.2807,                 1.3412,               0.005512,               0.005512,               0.005512
                     36,                 1.0482,                 1.4783,                 1.3445,                0.68401,                0.57943,                0.58366,                0.42536,                  1.067,                 1.2807,                 1.3361,                0.00538,                0.00538,                0.00538
                     37,                 1.0435,                 1.4661,                 1.3401,                0.69442,                0.58455,                0.59095,                 0.4288,                  1.066,                 1.2651,                 1.3365,               0.005248,               0.005248,               0.005248
