                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4852,                 3.6386,                 1.6562,                 0.2833,                0.18848,                0.11989,                0.07194,                 1.7533,                 2.9006,                 1.9336,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.6206,                 3.2925,                 1.7448,                0.19496,                0.15431,                  0.079,                0.04224,                 1.9177,                 3.0955,                 2.0944,              0.0065749,              0.0065749,              0.0065749
                      3,                  1.752,                 3.4638,                 1.8609,                0.17228,                0.08754,                0.04507,                0.02101,                 2.0859,                 3.3739,                 2.2596,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.8203,                  3.514,                 1.9198,                0.14181,                 0.0995,                0.04961,                0.02357,                 2.0759,                  3.349,                 2.2379,               0.009604,               0.009604,               0.009604
                      5,                 1.7899,                 3.3871,                 1.9065,                0.14071,                0.10741,                0.06043,                0.02989,                 2.0383,                 3.3575,                  2.263,               0.009472,               0.009472,               0.009472
                      6,                 1.7676,                 3.3041,                 1.8855,                0.20034,                0.15101,                0.08313,                0.04496,                 1.9564,                 3.1128,                 2.1325,                0.00934,                0.00934,                0.00934
                      7,                 1.7401,                 3.2275,                 1.8635,                0.22018,                0.15787,                0.08681,                0.04674,                 1.9328,                 3.0861,                 2.1211,               0.009208,               0.009208,               0.009208
                      8,                 1.7106,                 3.1746,                   1.85,                0.24932,                0.18909,                0.10572,                0.06025,                 1.8859,                  2.943,                 2.0568,               0.009076,               0.009076,               0.009076
                      9,                 1.6984,                   3.12,                  1.835,                0.25285,                0.19338,                0.10971,                0.06445,                 1.8538,                 2.9458,                 2.0332,               0.008944,               0.008944,               0.008944
                     10,                 1.6844,                 3.0802,                 1.8204,                0.24489,                0.19596,                0.11518,                0.06903,                 1.8587,                 2.8905,                 2.0289,               0.008812,               0.008812,               0.008812
                     11,                 1.6647,                 3.0549,                 1.8121,                 0.2596,                0.20646,                0.11668,                0.06965,                 1.8323,                 2.9162,                 2.0248,                0.00868,                0.00868,                0.00868
                     12,                 1.6587,                 3.0182,                 1.8093,                0.25184,                0.19931,                0.11848,                0.07207,                 1.8209,                 2.8503,                 2.0043,               0.008548,               0.008548,               0.008548
                     13,                 1.6418,                 3.0043,                 1.7967,                0.27645,                0.21253,                0.12738,                0.07802,                  1.801,                 2.8004,                 1.9908,               0.008416,               0.008416,               0.008416
                     14,                 1.6324,                 2.9639,                 1.7873,                 0.2663,                0.22336,                0.12868,                0.07857,                 1.7941,                  2.792,                 1.9841,               0.008284,               0.008284,               0.008284
                     15,                 1.6276,                 2.9478,                 1.7791,                0.28657,                0.21617,                0.13292,                0.08266,                 1.7877,                  2.766,                 1.9833,               0.008152,               0.008152,               0.008152
                     16,                 1.6077,                 2.9239,                 1.7679,                0.28737,                0.22469,                0.13599,                0.08454,                 1.7646,                  2.738,                 1.9547,                0.00802,                0.00802,                0.00802
                     17,                 1.6037,                 2.8991,                 1.7581,                0.30104,                 0.2314,                0.13821,                0.08699,                 1.7703,                 2.6913,                 1.9475,               0.007888,               0.007888,               0.007888
                     18,                 1.5981,                 2.8964,                 1.7609,                0.30374,                0.22945,                0.14305,                0.09029,                 1.7549,                 2.7073,                 1.9464,               0.007756,               0.007756,               0.007756
                     19,                 1.5869,                 2.8829,                 1.7501,                0.30555,                0.24183,                0.14363,                0.09095,                 1.7266,                 2.6818,                  1.932,               0.007624,               0.007624,               0.007624
                     20,                 1.5766,                 2.8522,                 1.7454,                0.30552,                0.24029,                0.14446,                0.09262,                 1.7171,                 2.6638,                 1.9204,               0.007492,               0.007492,               0.007492
                     21,                 1.5788,                 2.8548,                 1.7453,                0.30542,                0.24718,                 0.1467,                0.09389,                  1.724,                 2.6493,                 1.9156,                0.00736,                0.00736,                0.00736
                     22,                 1.5687,                 2.8225,                  1.736,                0.30864,                0.24716,                0.14819,                0.09604,                 1.7233,                  2.638,                 1.9181,               0.007228,               0.007228,               0.007228
                     23,                 1.5602,                 2.8221,                 1.7277,                0.31922,                0.24963,                0.15454,                0.10071,                 1.7155,                 2.6091,                 1.9153,               0.007096,               0.007096,               0.007096
                     24,                 1.5517,                 2.7853,                 1.7211,                0.31301,                0.25468,                0.15526,                0.10214,                 1.7076,                 2.6219,                 1.9013,               0.006964,               0.006964,               0.006964
                     25,                 1.5488,                 2.7934,                 1.7215,                0.32477,                0.25454,                0.15619,                0.10177,                 1.7055,                 2.6033,                 1.8997,               0.006832,               0.006832,               0.006832
                     26,                 1.5435,                 2.7789,                 1.7196,                0.32546,                0.25169,                0.15533,                0.10297,                 1.6953,                 2.5979,                 1.8956,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.5386,                 2.7602,                 1.7136,                0.32593,                0.26088,                  0.158,                0.10419,                 1.6736,                  2.559,                  1.881,               0.006568,               0.006568,               0.006568
                     28,                 1.5356,                 2.7581,                 1.7099,                0.33457,                0.25922,                0.16045,                0.10595,                 1.6756,                 2.5553,                 1.8834,               0.006436,               0.006436,               0.006436
                     29,                  1.534,                 2.7451,                 1.7057,                0.33635,                0.26034,                0.16041,                0.10655,                 1.6649,                  2.541,                  1.874,               0.006304,               0.006304,               0.006304
                     30,                 1.5166,                 2.7131,                 1.6965,                0.34164,                0.26342,                0.16379,                0.10807,                 1.6722,                 2.5377,                 1.8758,               0.006172,               0.006172,               0.006172
                     31,                 1.5138,                 2.7157,                 1.6962,                0.34661,                0.26036,                0.16324,                0.10775,                 1.6747,                 2.5374,                 1.8779,                0.00604,                0.00604,                0.00604
                     32,                 1.5043,                 2.6951,                 1.6892,                0.34204,                0.26938,                0.16405,                 0.1092,                 1.6567,                 2.5168,                 1.8609,               0.005908,               0.005908,               0.005908
                     33,                 1.5056,                 2.6792,                 1.6855,                0.34687,                0.27168,                0.16499,                0.11014,                 1.6542,                 2.5078,                 1.8663,               0.005776,               0.005776,               0.005776
                     34,                 1.4989,                 2.6824,                  1.684,                 0.3485,                 0.2704,                0.16762,                0.11134,                 1.6516,                 2.5004,                 1.8632,               0.005644,               0.005644,               0.005644
                     35,                 1.4936,                 2.6673,                 1.6787,                0.34134,                0.27114,                0.16585,                0.11105,                 1.6458,                 2.5013,                 1.8576,               0.005512,               0.005512,               0.005512
                     36,                 1.4973,                 2.6662,                 1.6764,                0.33869,                0.27374,                0.16913,                0.11378,                 1.6335,                 2.4926,                 1.8518,                0.00538,                0.00538,                0.00538
                     37,                 1.4855,                 2.6633,                 1.6778,                0.34724,                0.27091,                0.17102,                0.11465,                  1.636,                 2.4803,                 1.8486,               0.005248,               0.005248,               0.005248
                     38,                 1.4764,                 2.6281,                 1.6661,                0.35885,                0.27363,                0.17012,                0.11526,                  1.636,                 2.4734,                 1.8497,               0.005116,               0.005116,               0.005116
                     39,                 1.4802,                 2.6295,                 1.6654,                0.35144,                0.27058,                0.17309,                 0.1171,                 1.6306,                 2.4688,                 1.8402,               0.004984,               0.004984,               0.004984
                     40,                 1.4751,                 2.6254,                 1.6662,                0.35523,                0.27568,                0.17094,                 0.1155,                 1.6313,                 2.4619,                 1.8432,               0.004852,               0.004852,               0.004852
                     41,                 1.4656,                 2.6177,                 1.6591,                0.35597,                0.27615,                0.17021,                 0.1155,                 1.6247,                 2.4616,                 1.8421,                0.00472,                0.00472,                0.00472
                     42,                  1.458,                 2.5909,                 1.6541,                 0.3567,                0.26963,                0.17282,                0.11619,                 1.6336,                 2.4597,                 1.8438,               0.004588,               0.004588,               0.004588
                     43,                 1.4512,                 2.5887,                 1.6521,                0.35388,                0.27682,                0.17345,                0.11673,                  1.625,                 2.4533,                 1.8395,               0.004456,               0.004456,               0.004456
                     44,                 1.4488,                  2.575,                 1.6467,                 0.3607,                0.27974,                0.17609,                0.11856,                 1.6197,                 2.4445,                 1.8338,               0.004324,               0.004324,               0.004324
                     45,                 1.4404,                 2.5519,                 1.6398,                0.36136,                 0.2782,                0.17562,                0.11851,                  1.622,                 2.4404,                 1.8375,               0.004192,               0.004192,               0.004192
                     46,                 1.4445,                 2.5549,                 1.6431,                0.35677,                0.27667,                0.17592,                0.11961,                 1.6155,                 2.4391,                 1.8339,                0.00406,                0.00406,                0.00406
                     47,                 1.4344,                 2.5497,                 1.6363,                 0.3575,                0.28086,                0.17681,                0.12078,                 1.6121,                 2.4365,                 1.8308,               0.003928,               0.003928,               0.003928
                     48,                 1.4363,                 2.5431,                 1.6346,                0.35914,                0.28104,                0.17713,                0.12072,                 1.6115,                 2.4368,                 1.8319,               0.003796,               0.003796,               0.003796
                     49,                 1.4389,                 2.5492,                 1.6387,                0.36085,                0.28192,                0.17628,                0.12017,                   1.61,                 2.4361,                 1.8296,               0.003664,               0.003664,               0.003664
                     50,                  1.431,                 2.5335,                 1.6361,                0.35596,                0.28369,                0.17572,                0.11915,                  1.609,                 2.4324,                 1.8314,               0.003532,               0.003532,               0.003532
                     51,                 1.4266,                 2.5163,                 1.6291,                0.36078,                0.28233,                0.17491,                0.11883,                 1.6087,                 2.4302,                 1.8313,                 0.0034,                 0.0034,                 0.0034
                     52,                 1.4102,                 2.4925,                 1.6164,                0.36585,                 0.2829,                0.17541,                0.11981,                 1.6061,                 2.4335,                  1.831,               0.003268,               0.003268,               0.003268
                     53,                  1.413,                 2.5104,                 1.6237,                 0.3652,                 0.2828,                0.17574,                0.11997,                 1.6043,                 2.4309,                 1.8305,               0.003136,               0.003136,               0.003136
                     54,                 1.4115,                 2.4996,                 1.6194,                0.36014,                0.28205,                0.17532,                 0.1193,                  1.603,                  2.428,                 1.8296,               0.003004,               0.003004,               0.003004
                     55,                 1.4047,                 2.4826,                 1.6119,                0.36278,                0.28389,                0.17484,                0.11903,                 1.6013,                 2.4256,                  1.827,               0.002872,               0.002872,               0.002872
