                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97695,                  3.421,                 1.2693,                0.23201,                0.22044,                0.12813,                0.08564,                 1.0258,                  2.589,                 1.2733,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1066,                 2.9947,                 1.3585,                0.20004,                0.15967,                0.09856,                0.06004,                 1.2859,                 2.8461,                 1.5278,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2377,                 3.1033,                  1.469,                0.13168,                 0.1011,                0.04811,                0.02539,                 1.5447,                 3.3085,                 1.8235,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3272,                 3.1449,                 1.5448,                0.16223,                0.13572,                0.07554,                0.04225,                 1.4284,                 2.9331,                 1.6567,               0.009604,               0.009604,               0.009604
                      5,                 1.2856,                 3.0032,                 1.5115,                0.21298,                0.17447,                 0.1038,                0.06219,                 1.3192,                 2.7276,                 1.5575,               0.009472,               0.009472,               0.009472
                      6,                 1.2505,                  2.898,                 1.4838,                0.26589,                0.18272,                0.11246,                0.06831,                 1.2649,                 2.6766,                 1.5136,                0.00934,                0.00934,                0.00934
                      7,                 1.2266,                 2.8163,                 1.4603,                0.23688,                0.19476,                0.11939,                0.07378,                 1.2398,                 2.6858,                 1.4806,               0.009208,               0.009208,               0.009208
                      8,                 1.2048,                 2.7559,                  1.453,                0.25544,                0.19505,                0.12583,                0.07926,                 1.2203,                 2.5766,                 1.4764,               0.009076,               0.009076,               0.009076
                      9,                 1.1762,                 2.7091,                 1.4313,                0.25867,                0.20488,                0.13379,                0.08594,                 1.1863,                 2.5173,                 1.4313,               0.008944,               0.008944,               0.008944
                     10,                 1.1685,                  2.681,                 1.4195,                0.27052,                0.22137,                0.14233,                0.09094,                 1.1827,                 2.4959,                 1.4234,               0.008812,               0.008812,               0.008812
                     11,                 1.1473,                  2.645,                 1.4071,                0.28657,                 0.2229,                0.14294,                0.09261,                 1.1501,                 2.4592,                 1.3925,                0.00868,                0.00868,                0.00868
                     12,                 1.1349,                 2.6115,                 1.3967,                0.28372,                0.22596,                0.14688,                0.09614,                 1.1352,                 2.4156,                  1.382,               0.008548,               0.008548,               0.008548
                     13,                 1.1204,                 2.5864,                 1.3864,                0.28239,                0.22991,                0.14484,                0.09433,                 1.1402,                 2.4152,                 1.3809,               0.008416,               0.008416,               0.008416
                     14,                 1.1065,                 2.5707,                 1.3802,                0.31252,                0.22481,                0.15296,                0.10253,                  1.104,                 2.3824,                 1.3591,               0.008284,               0.008284,               0.008284
                     15,                 1.0971,                 2.5488,                 1.3674,                0.29828,                 0.2398,                0.15829,                0.10582,                 1.0991,                 2.3538,                 1.3416,               0.008152,               0.008152,               0.008152
                     16,                 1.0876,                  2.523,                 1.3632,                0.29926,                 0.2439,                0.15944,                0.10591,                 1.0975,                 2.3451,                 1.3501,                0.00802,                0.00802,                0.00802
                     17,                 1.0825,                 2.5027,                 1.3537,                0.31733,                0.24319,                0.16244,                0.10978,                 1.0722,                 2.3248,                 1.3256,               0.007888,               0.007888,               0.007888
                     18,                 1.0708,                  2.502,                 1.3457,                0.30105,                0.25255,                0.16117,                0.10924,                 1.0639,                 2.3011,                 1.3152,               0.007756,               0.007756,               0.007756
                     19,                 1.0654,                 2.4796,                 1.3403,                0.31621,                0.25592,                 0.1672,                  0.114,                 1.0582,                 2.2844,                 1.3114,               0.007624,               0.007624,               0.007624
                     20,                 1.0578,                 2.4667,                  1.338,                0.32214,                0.25328,                 0.1687,                0.11664,                 1.0494,                  2.264,                 1.3075,               0.007492,               0.007492,               0.007492
                     21,                 1.0501,                  2.459,                 1.3323,                0.32295,                0.25042,                0.17367,                0.11941,                  1.042,                 2.2638,                 1.2983,                0.00736,                0.00736,                0.00736
                     22,                 1.0403,                 2.4421,                 1.3241,                0.31838,                0.25695,                0.17537,                 0.1208,                 1.0321,                 2.2543,                 1.2897,               0.007228,               0.007228,               0.007228
