                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2198,                 3.1509,                 1.4543,                 0.4331,                0.36223,                0.29631,                0.19041,                 1.3501,                 2.1824,                 1.5538,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3525,                 2.6858,                 1.5484,                0.33013,                0.29479,                0.21424,                0.12499,                 1.5599,                  2.443,                 1.7372,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.4816,                  2.869,                 1.6644,                0.22915,                0.19497,                0.12038,                0.06297,                 1.7656,                 2.8127,                 1.9298,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.5547,                 2.9468,                   1.73,                0.30337,                0.23446,                0.16045,                0.08502,                  1.729,                 2.7579,                 1.9103,               0.009604,               0.009604,               0.009604
                      5,                 1.5251,                 2.7858,                 1.7104,                0.36512,                0.28278,                0.21695,                 0.1244,                 1.6427,                 2.5179,                 1.8518,               0.009472,               0.009472,               0.009472
                      6,                 1.4901,                 2.6608,                 1.6824,                0.37732,                0.28997,                0.23385,                0.13952,                 1.5828,                 2.4133,                 1.8037,                0.00934,                0.00934,                0.00934
                      7,                 1.4583,                  2.562,                 1.6521,                0.38994,                0.31269,                0.25416,                 0.1527,                 1.5723,                 2.3847,                 1.7981,               0.009208,               0.009208,               0.009208
                      8,                 1.4421,                 2.5076,                 1.6496,                 0.3972,                0.33002,                 0.2653,                0.16234,                 1.5284,                 2.2712,                 1.7356,               0.009076,               0.009076,               0.009076
                      9,                 1.4195,                 2.4432,                 1.6296,                0.43551,                0.33813,                0.28738,                0.17716,                  1.516,                 2.1968,                 1.7372,               0.008944,               0.008944,               0.008944
                     10,                 1.4147,                 2.4183,                 1.6231,                0.45581,                0.33877,                0.28773,                0.17809,                 1.5001,                 2.1874,                 1.7178,               0.008812,               0.008812,               0.008812
                     11,                 1.3921,                 2.3767,                 1.6097,                0.45923,                0.36411,                0.29546,                 0.1872,                 1.4588,                  2.135,                 1.7002,                0.00868,                0.00868,                0.00868
                     12,                 1.3844,                 2.3485,                  1.605,                0.47478,                0.36539,                0.30773,                0.19919,                 1.4487,                 2.1121,                 1.6894,               0.008548,               0.008548,               0.008548
                     13,                 1.3622,                 2.3066,                 1.5903,                0.46472,                 0.3746,                0.31607,                0.20493,                 1.4444,                 2.0647,                 1.6753,               0.008416,               0.008416,               0.008416
                     14,                 1.3575,                 2.2994,                 1.5876,                0.45607,                0.39236,                0.32133,                0.20893,                   1.42,                 2.0273,                 1.6574,               0.008284,               0.008284,               0.008284
                     15,                 1.3406,                 2.2567,                 1.5706,                0.48162,                0.38971,                0.32827,                0.21339,                 1.4257,                 2.0108,                 1.6553,               0.008152,               0.008152,               0.008152
                     16,                 1.3322,                 2.2386,                 1.5695,                 0.4827,                0.39824,                0.33275,                0.21894,                 1.4082,                 1.9972,                 1.6625,                0.00802,                0.00802,                0.00802
                     17,                 1.3226,                 2.2027,                 1.5564,                0.51075,                0.39387,                 0.3462,                0.23232,                 1.3903,                 1.9553,                 1.6338,               0.007888,               0.007888,               0.007888
                     18,                 1.3207,                 2.2062,                 1.5535,                0.49813,                0.40189,                0.33841,                0.22464,                 1.3819,                 1.9507,                 1.6176,               0.007756,               0.007756,               0.007756
                     19,                 1.3125,                 2.1644,                 1.5481,                0.49841,                0.40307,                0.34072,                0.22752,                 1.3846,                  1.945,                 1.6245,               0.007624,               0.007624,               0.007624
                     20,                 1.2988,                 2.1428,                  1.539,                0.50614,                0.41327,                0.35112,                0.23525,                 1.3665,                 1.9111,                 1.6118,               0.007492,               0.007492,               0.007492
                     21,                 1.2982,                 2.1268,                 1.5371,                0.52163,                 0.4173,                0.35946,                0.24318,                 1.3557,                 1.8732,                 1.6039,                0.00736,                0.00736,                0.00736
                     22,                 1.2826,                 2.1043,                 1.5255,                0.53555,                0.40864,                0.36184,                 0.2448,                 1.3523,                 1.8746,                 1.6032,               0.007228,               0.007228,               0.007228
                     23,                 1.2774,                 2.0878,                 1.5214,                0.52196,                0.43005,                0.36217,                0.24541,                 1.3441,                 1.8535,                 1.5907,               0.007096,               0.007096,               0.007096
                     24,                 1.2775,                 2.0809,                 1.5223,                0.52085,                0.42759,                 0.3651,                0.25051,                 1.3305,                 1.8554,                 1.5861,               0.006964,               0.006964,               0.006964
                     25,                  1.265,                 2.0579,                 1.5137,                0.53435,                0.42358,                0.36599,                0.25125,                 1.3278,                 1.8177,                  1.581,               0.006832,               0.006832,               0.006832
                     26,                 1.2728,                 2.0499,                 1.5172,                0.52868,                0.43611,                 0.3718,                0.25567,                  1.316,                  1.801,                 1.5617,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.2517,                 2.0359,                 1.5051,                0.53752,                0.42553,                0.37434,                0.26002,                 1.3187,                 1.8011,                 1.5679,               0.006568,               0.006568,               0.006568
                     28,                 1.2574,                 2.0279,                 1.5035,                0.53394,                0.44047,                0.37447,                0.26105,                 1.2984,                 1.7785,                 1.5549,               0.006436,               0.006436,               0.006436
                     29,                 1.2485,                 2.0042,                 1.4962,                 0.5492,                0.43456,                 0.3782,                0.26268,                 1.3065,                 1.7749,                 1.5605,               0.006304,               0.006304,               0.006304
                     30,                 1.2358,                 2.0007,                 1.4929,                0.53696,                  0.439,                  0.376,                0.26359,                  1.291,                 1.7699,                 1.5516,               0.006172,               0.006172,               0.006172
                     31,                 1.2314,                 1.9775,                 1.4863,                0.55144,                 0.4434,                0.38151,                0.26743,                 1.2959,                  1.767,                 1.5498,                0.00604,                0.00604,                0.00604
                     32,                   1.23,                 1.9763,                 1.4823,                0.54427,                0.44577,                0.38243,                0.26859,                 1.2903,                 1.7551,                 1.5481,               0.005908,               0.005908,               0.005908
                     33,                 1.2202,                 1.9515,                 1.4745,                0.54499,                0.44123,                 0.3817,                0.26874,                 1.2807,                 1.7525,                 1.5443,               0.005776,               0.005776,               0.005776
