                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97129,                 3.1049,                 1.2638,                0.43384,                0.36449,                0.29195,                0.19629,                 1.0561,                 2.1869,                 1.2868,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.0969,                 2.5915,                 1.3539,                0.34015,                0.28995,                0.21684,                0.13383,                 1.2401,                 2.4793,                 1.4496,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2391,                 2.7361,                  1.462,                0.26054,                0.22351,                0.13861,                 0.0757,                 1.4627,                 2.7596,                 1.6946,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3242,                 2.7967,                 1.5364,                0.27581,                0.21968,                0.15067,                0.08894,                 1.4223,                 2.6928,                 1.6848,               0.009604,               0.009604,               0.009604
                      5,                 1.2768,                 2.6419,                 1.5037,                0.32555,                0.27065,                0.19974,                0.12288,                 1.3061,                 2.4572,                 1.5234,               0.009472,               0.009472,               0.009472
                      6,                 1.2418,                  2.531,                  1.476,                0.36076,                 0.2992,                0.22755,                0.14423,                 1.2817,                 2.3464,                 1.5147,                0.00934,                0.00934,                0.00934
                      7,                 1.2136,                 2.4322,                 1.4504,                0.38519,                0.30613,                 0.2477,                0.15888,                 1.2428,                 2.2592,                 1.4764,               0.009208,               0.009208,               0.009208
                      8,                 1.1918,                 2.3668,                 1.4369,                0.43206,                0.31938,                0.27268,                0.17593,                 1.2128,                 2.2026,                 1.4484,               0.009076,               0.009076,               0.009076
                      9,                 1.1818,                 2.3237,                 1.4254,                0.42533,                0.34294,                0.27798,                0.17934,                 1.1931,                 2.1467,                 1.4357,               0.008944,               0.008944,               0.008944
                     10,                 1.1534,                 2.2623,                 1.4103,                 0.4525,                0.35124,                0.29279,                0.19233,                 1.1695,                 2.0821,                 1.4079,               0.008812,               0.008812,               0.008812
                     11,                 1.1422,                 2.2395,                 1.4037,                0.44598,                 0.3462,                0.29079,                0.19362,                 1.1451,                 2.0917,                 1.3965,                0.00868,                0.00868,                0.00868
                     12,                 1.1298,                 2.1982,                 1.3953,                0.46401,                0.34696,                0.29577,                0.19727,                  1.141,                 2.0499,                 1.3859,               0.008548,               0.008548,               0.008548
                     13,                 1.1236,                 2.1736,                 1.3817,                0.45851,                0.35644,                0.30375,                0.20512,                 1.1307,                 2.0183,                 1.3721,               0.008416,               0.008416,               0.008416
                     14,                 1.1008,                 2.1468,                 1.3666,                0.48021,                0.36383,                0.31482,                0.21267,                 1.1114,                  1.975,                 1.3502,               0.008284,               0.008284,               0.008284
                     15,                 1.0958,                 2.1345,                  1.367,                0.47498,                 0.3619,                0.30796,                0.20977,                 1.1035,                 1.9861,                 1.3516,               0.008152,               0.008152,               0.008152
                     16,                 1.0875,                 2.0953,                 1.3553,                0.47803,                 0.3891,                0.32613,                 0.2233,                 1.0935,                 1.9298,                 1.3405,                0.00802,                0.00802,                0.00802
                     17,                 1.0852,                 2.0788,                  1.356,                0.49121,                0.36996,                0.32304,                0.22039,                 1.0871,                 1.9205,                 1.3334,               0.007888,               0.007888,               0.007888
                     18,                  1.065,                 2.0504,                 1.3423,                0.48961,                0.38201,                0.32582,                0.22529,                 1.0733,                 1.9173,                 1.3179,               0.007756,               0.007756,               0.007756
                     19,                 1.0595,                 2.0354,                 1.3386,                0.49752,                0.39929,                0.33649,                0.23218,                 1.0612,                 1.8739,                  1.309,               0.007624,               0.007624,               0.007624
                     20,                 1.0502,                 2.0097,                 1.3295,                0.49583,                0.39876,                0.33339,                0.23322,                 1.0448,                 1.8679,                 1.2975,               0.007492,               0.007492,               0.007492
                     21,                 1.0487,                 2.0295,                 1.3303,                0.51489,                0.39101,                0.33691,                0.23709,                 1.0374,                 1.8673,                 1.2946,                0.00736,                0.00736,                0.00736
                     22,                 1.0371,                  1.992,                 1.3241,                 0.4901,                0.40537,                  0.341,                 0.2417,                 1.0333,                 1.8486,                 1.2822,               0.007228,               0.007228,               0.007228
                     23,                 1.0278,                 1.9774,                 1.3159,                0.50681,                0.40193,                0.34192,                0.24216,                 1.0267,                 1.8381,                 1.2764,               0.007096,               0.007096,               0.007096
                     24,                 1.0249,                 1.9623,                 1.3123,                0.51233,                0.40456,                0.34827,                0.24503,                 1.0249,                 1.8145,                 1.2759,               0.006964,               0.006964,               0.006964
                     25,                 1.0173,                 1.9581,                 1.3106,                0.50553,                0.41056,                 0.3503,                0.24794,                 1.0213,                 1.8181,                 1.2719,               0.006832,               0.006832,               0.006832
                     26,                 1.0134,                 1.9468,                 1.3068,                0.51737,                0.41307,                 0.3552,                0.25402,                 1.0038,                 1.7939,                 1.2609,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.0033,                 1.9269,                 1.2981,                0.51569,                0.41766,                0.35617,                0.25403,                 1.0031,                 1.7905,                 1.2598,               0.006568,               0.006568,               0.006568
