                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0716,                 2.8357,                 1.3381,                0.54111,                 0.4725,                0.45533,                 0.2967,                 1.1807,                 1.7842,                  1.402,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1902,                  2.268,                 1.4247,                0.43814,                0.39532,                0.35005,                0.21266,                 1.3571,                 2.0765,                 1.5488,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.3263,                 2.4601,                 1.5357,                0.33984,                0.30553,                0.24913,                0.14086,                 1.5572,                 2.3681,                 1.7586,              0.0097323,              0.0097323,              0.0097323
                      4,                  1.412,                 2.5347,                 1.6106,                0.33232,                0.28504,                 0.2343,                0.13478,                 1.5234,                 2.4726,                 1.7842,               0.009604,               0.009604,               0.009604
                      5,                 1.3655,                 2.3633,                 1.5739,                 0.4741,                0.37031,                0.35124,                0.21378,                 1.4396,                 2.0631,                 1.6655,               0.009472,               0.009472,               0.009472
                      6,                 1.3318,                 2.2362,                 1.5527,                0.48125,                0.39786,                0.37427,                0.23557,                 1.3891,                  2.029,                 1.6272,                0.00934,                0.00934,                0.00934
                      7,                 1.2925,                 2.1273,                 1.5248,                0.51888,                0.40208,                0.38487,                0.23849,                  1.387,                 1.9631,                 1.6157,               0.009208,               0.009208,               0.009208
                      8,                 1.2764,                 2.0512,                 1.5083,                0.53259,                0.43463,                0.41777,                0.26643,                 1.3407,                 1.8547,                 1.5838,               0.009076,               0.009076,               0.009076
                      9,                 1.2625,                 2.0224,                 1.5014,                0.55139,                0.44215,                0.44053,                0.28443,                 1.3178,                 1.7916,                 1.5489,               0.008944,               0.008944,               0.008944
                     10,                 1.2479,                 1.9747,                 1.4883,                0.56498,                0.46813,                0.46383,                0.30287,                 1.2929,                 1.7299,                 1.5417,               0.008812,               0.008812,               0.008812
                     11,                 1.2287,                 1.9288,                 1.4754,                0.59505,                 0.4511,                0.46526,                0.31109,                 1.2718,                 1.7147,                 1.5224,                0.00868,                0.00868,                0.00868
                     12,                 1.2144,                 1.8934,                 1.4661,                0.59918,                0.46277,                0.47139,                0.31479,                 1.2622,                 1.7168,                 1.5088,               0.008548,               0.008548,               0.008548
                     13,                 1.2093,                 1.8633,                 1.4613,                0.58606,                0.49872,                0.49044,                0.33274,                  1.221,                 1.6251,                 1.4815,               0.008416,               0.008416,               0.008416
