                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98118,                 2.8496,                 1.2657,                0.57472,                0.48264,                0.47472,                0.31833,                 1.0539,                 1.7865,                 1.2794,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.0963,                 2.2925,                 1.3524,                0.41151,                0.38394,                0.32317,                0.20076,                 1.2453,                 2.1137,                 1.4536,              0.0065749,              0.0065749,              0.0065749
                      3,                 1.2308,                 2.4694,                 1.4581,                0.37333,                0.30028,                0.25192,                0.14271,                 1.4469,                 2.4364,                 1.6452,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.3142,                 2.5319,                 1.5263,                0.39666,                0.32474,                0.28902,                0.16691,                  1.405,                 2.3336,                 1.6405,               0.009604,               0.009604,               0.009604
                      5,                 1.2731,                 2.3664,                 1.5032,                 0.4323,                0.36042,                0.33171,                0.19285,                 1.3434,                 2.1316,                 1.5675,               0.009472,               0.009472,               0.009472
                      6,                 1.2414,                 2.2507,                  1.477,                0.48049,                0.41521,                0.37592,                0.23325,                 1.3064,                 1.9904,                 1.5562,                0.00934,                0.00934,                0.00934
                      7,                 1.2078,                 2.1455,                 1.4506,                0.50767,                0.41236,                0.39843,                0.25468,                 1.2439,                 1.9281,                 1.4727,               0.009208,               0.009208,               0.009208
                      8,                 1.1902,                 2.0803,                  1.434,                0.52022,                0.41719,                0.40747,                  0.257,                 1.2765,                 1.9665,                 1.5011,               0.009076,               0.009076,               0.009076
                      9,                 1.1779,                 2.0188,                 1.4243,                0.56603,                0.45747,                0.45662,                0.29972,                 1.1961,                 1.7663,                 1.4346,               0.008944,               0.008944,               0.008944
                     10,                 1.1546,                 1.9817,                 1.4072,                0.59684,                0.46981,                0.48107,                0.32055,                 1.1561,                 1.6997,                 1.3965,               0.008812,               0.008812,               0.008812
                     11,                 1.1413,                  1.927,                 1.3993,                0.59499,                0.45897,                0.47411,                 0.3188,                 1.1617,                 1.7274,                 1.4119,                0.00868,                0.00868,                0.00868
                     12,                 1.1257,                 1.8901,                 1.3876,                0.59945,                0.48852,                0.48673,                0.32763,                  1.132,                 1.6521,                 1.3785,               0.008548,               0.008548,               0.008548
                     13,                  1.122,                 1.8575,                 1.3795,                0.62222,                0.49754,                0.51083,                 0.3477,                 1.1222,                  1.599,                 1.3653,               0.008416,               0.008416,               0.008416
                     14,                 1.0991,                 1.8306,                 1.3636,                 0.6278,                0.48431,                0.49928,                0.33964,                 1.1116,                 1.5848,                 1.3552,               0.008284,               0.008284,               0.008284
                     15,                 1.0944,                 1.7989,                 1.3635,                0.63832,                0.49763,                0.51852,                0.35878,                 1.0916,                  1.558,                 1.3328,               0.008152,               0.008152,               0.008152
                     16,                 1.0852,                 1.7861,                 1.3539,                0.64844,                0.50979,                0.53176,                0.36924,                 1.0842,                 1.5192,                  1.335,                0.00802,                0.00802,                0.00802
                     17,                 1.0829,                 1.7554,                  1.352,                0.64415,                0.51992,                0.53392,                 0.3719,                 1.0737,                 1.4956,                 1.3206,               0.007888,               0.007888,               0.007888
                     18,                 1.0629,                 1.7377,                 1.3391,                0.64771,                0.52282,                0.53634,                0.37289,                 1.0678,                 1.4881,                 1.3174,               0.007756,               0.007756,               0.007756
                     19,                 1.0574,                 1.7066,                 1.3368,                0.65595,                0.52565,                0.54508,                0.38125,                 1.0578,                 1.4685,                 1.3069,               0.007624,               0.007624,               0.007624
                     20,                 1.0453,                 1.6883,                 1.3267,                0.67519,                0.52021,                0.54539,                 0.3875,                 1.0442,                 1.4545,                 1.3005,               0.007492,               0.007492,               0.007492
                     21,                 1.0455,                 1.6963,                 1.3293,                0.68167,                0.52861,                0.55244,                0.39197,                 1.0341,                 1.4394,                 1.2894,                0.00736,                0.00736,                0.00736
                     22,                 1.0338,                  1.678,                  1.322,                0.67293,                0.53302,                 0.5557,                0.39754,                 1.0232,                 1.4196,                  1.279,               0.007228,               0.007228,               0.007228
                     23,                  1.026,                 1.6428,                 1.3127,                0.65204,                0.54393,                0.56015,                0.39749,                 1.0249,                 1.4113,                 1.2766,               0.007096,               0.007096,               0.007096
                     24,                 1.0218,                 1.6473,                 1.3104,                0.66494,                0.55431,                0.56932,                0.40895,                 1.0211,                 1.3846,                 1.2722,               0.006964,               0.006964,               0.006964
                     25,                 1.0151,                 1.6409,                 1.3097,                0.68282,                0.55205,                0.56983,                0.40808,                 1.0118,                 1.3885,                 1.2665,               0.006832,               0.006832,               0.006832
