                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.082,                 2.8481,                 1.3445,                0.54887,                 0.5031,                0.47751,                0.32624,                 1.1109,                 1.7609,                 1.3584,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.1916,                 2.2652,                 1.4211,                0.44177,                0.38612,                0.34369,                 0.2086,                 1.3683,                 2.1022,                 1.6334,              0.0065749,              0.0065749,              0.0065749
                      3,                  1.333,                 2.4707,                 1.5378,                0.32798,                0.26604,                0.20032,                0.10749,                  1.631,                 2.5751,                 1.8862,              0.0097323,              0.0097323,              0.0097323
                      4,                 1.4105,                 2.5393,                 1.6036,                0.40494,                0.34586,                0.29841,                0.17085,                 1.4868,                 2.3022,                 1.7228,               0.009604,               0.009604,               0.009604
                      5,                 1.3659,                 2.3695,                 1.5843,                0.45003,                0.34215,                 0.3131,                0.18407,                 1.4443,                 2.1575,                  1.705,               0.009472,               0.009472,               0.009472
                      6,                  1.335,                 2.2346,                 1.5529,                0.44827,                  0.388,                0.34325,                0.20755,                 1.4152,                 2.0492,                 1.6482,                0.00934,                0.00934,                0.00934
                      7,                 1.3031,                 2.1273,                 1.5253,                0.49348,                0.39688,                0.37751,                0.23136,                 1.3689,                 1.9218,                 1.5965,               0.009208,               0.009208,               0.009208
                      8,                 1.2774,                 2.0629,                 1.5115,                0.47972,                0.39658,                0.36415,                0.22959,                 1.3457,                 1.9652,                 1.5889,               0.009076,               0.009076,               0.009076
                      9,                 1.2614,                 2.0067,                 1.4974,                0.53823,                0.45751,                0.44654,                0.28935,                 1.2994,                 1.7783,                 1.5513,               0.008944,               0.008944,               0.008944
                     10,                 1.2481,                 1.9782,                 1.4935,                0.56053,                0.46152,                0.44691,                0.28943,                  1.306,                 1.7669,                 1.5529,               0.008812,               0.008812,               0.008812
                     11,                 1.2314,                 1.9292,                 1.4757,                 0.5506,                0.47116,                0.45199,                0.29834,                 1.2582,                  1.693,                 1.5182,                0.00868,                0.00868,                0.00868
                     12,                 1.2195,                 1.8965,                 1.4748,                 0.5488,                0.48117,                0.46948,                0.31301,                 1.2358,                 1.6584,                 1.5038,               0.008548,               0.008548,               0.008548
                     13,                 1.2057,                 1.8573,                 1.4617,                0.58629,                0.48491,                0.47527,                0.31793,                 1.2351,                 1.6468,                  1.507,               0.008416,               0.008416,               0.008416
